uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
random_under,standard,0.8,xgb,15170227,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.17290357825730673,0.2420648761771887,0.20407841444762348,0.026722038314658463,1.0,1.0,1.0,0.0,0.2948299953423381,0.38977815220443696,0.3381645400057236,0.03668484344842835,0.9613820026827008,0.9669552385588712,0.9641021427676085,0.0022549421088194827,0.4894170457190453,0.5601116810718587,0.5248107713577334,0.02859388751363428,0.6761497326203209,0.7646230502599654,0.7112122710583835,0.03614540875747787,9212.0,9343.0,,,,,,1.5,0.3,error,1.5,61,binary:logistic,12,45431,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,lr,24633547,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09345794392523364,0.1737604212373848,0.1308834254147897,0.026751277770195852,0.3791469194312796,0.622848200312989,0.49387220991636455,0.08946176192036498,0.14995313964386128,0.26639757820383453,0.20657463075692756,0.03997380257265144,0.6254798734509622,0.7560463714345699,0.6893832051903223,0.049145499938625645,0.09894303444855954,0.16720164579281455,0.12791919461724804,0.023709032293019534,0.7089839572192513,0.7637564991334489,0.7223357582907703,0.020909250580498775,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,20000,l1,saga,,,,,,,,,,
random_under_bootstrap,minmax,0.1,nb,17284057,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12029459901800327,0.21049493142516398,0.1760751313836396,0.03065368147859467,0.1564945226917058,0.5086455331412104,0.35844409466460775,0.14017675072583807,0.15849056603773584,0.2977646562631801,0.22770589506236708,0.0538520810686578,0.6993971033340637,0.7815748108304423,0.7415655742576032,0.027999418473915214,0.1120635334211342,0.20136129380968654,0.1569633680602937,0.02910136255462732,0.7997830802603036,0.896357328707719,0.8300657662264683,0.035342659776723316,9178.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1.0,xgb,23706485,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.99860529986053,1.0,0.9997210599721061,0.0005578800557879849,1.0,1.0,1.0,0.0,0.9993021632937892,1.0,0.9998604326587579,0.0002791346824843277,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9998919386211368,1.0,0.9999783877242272,4.3224551545284486e-05,9194.0,9334.0,,,,,,0,0.3,aucpr,1.5,21,binary:logistic,21,41939,,,,,,,,,,,,,,,,,,,,,,
,standard,0.3,rf,12543882,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4960686204431737,0.5866543095458758,0.5404628475147982,0.031016940293102712,1.0,1.0,1.0,0.0,0.6631629240324892,0.7394859813084113,0.7011629024526609,0.026128851182901085,0.9963530776516112,0.9988194700808882,0.9976278240002043,0.0010580649592725054,0.9518674799672354,0.978943634694332,0.9667383137359657,0.011880500077697238,0.9236351819757366,0.9522994652406417,0.9373195245131664,0.009669861273506261,7765.0,8406.0,,,,,,,,,,,,,,False,balanced_subsample,gini,373,8,7,449,,,,,,,,,,,,,,,
smote,minmax,0.8,lr,4112633,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11538461538461539,0.18028643639427128,0.1419580949727546,0.021670868260439305,0.45023696682464454,0.6167146974063401,0.5174679784981836,0.05925411116771356,0.18369320012890752,0.27900912646675363,0.22271167854314022,0.03203457007511955,0.6697789442139054,0.7612404757034663,0.7078347593395451,0.032793323378649895,0.11378202330303731,0.1673780237338646,0.13436433716403398,0.01914799673651684,0.7168791873784309,0.7603986135181976,0.7357214150488515,0.014476595932135643,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,20000,none,saga,,,,,,,,,,
random_under,minmax,0.3,knn,12942648,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4806378132118451,0.543247344461305,0.5027075112259017,0.022003824910847396,1.0,1.0,1.0,0.0,0.6492307692307693,0.704031465093412,0.6687875551937111,0.019222460580465114,0.9995315062075427,0.9999417588817705,0.999731286322454,0.0001515540927144036,0.9943019943019943,0.99921875,0.9966783217251592,0.0017953907107277432,0.9238518197573656,0.9349470499243571,0.9278292318058139,0.0037400827094424584,3959.0,5019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minkowski,9,distance
random_over,minmax,0.8,rf,8095021,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9843971631205674,0.9984375,0.9925389992092951,0.006115643677517277,1.0,1.0,1.0,0.0,0.9921372408863475,0.9992181391712275,0.9962460634058511,0.0030845941114754274,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9988069414316703,0.9998915871639202,0.9994370626372806,0.00047252762613540176,5384.0,6366.0,,,,,,,,,,,,,,True,balanced_subsample,entropy,55,2,7,175,,,,,,,,,,,,,,,
adasyn,minmax,0.3,sgd,21207530,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.12154696132596685,0.06067523732022444,0.053487626683160705,0.0,0.6325648414985591,0.2465556327282445,0.2604299261461901,0.0,0.1981046931407942,0.08675883545355566,0.07671125462045918,0.3924888846525393,0.6805375257452191,0.5263137476750436,0.09573666649528778,0.056258045054632666,0.5338502673796791,0.17590182289543757,0.18057764498961265,0.48330442324371203,0.9322994652406417,0.7637555635943432,0.18167073750902052,1.0,9254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9313825235414805,False,0.582598897984279,invscaling,perceptron,elasticnet,,,
random_under_bootstrap,minmax,1.0,rf,28469191,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1767281826712543,0.2746446584135718,0.21827127008393626,0.03482182902819508,0.8631123919308358,0.8925750394944708,0.8767228806872623,0.010331887757014217,0.29503916449086165,0.41669565217391313,0.347926776046254,0.04333012716436815,0.8729813962330693,0.910142688087769,0.8873056701869366,0.014321008904015812,0.3203872638849791,0.40149000557136366,0.3570123330028881,0.032874622719173574,0.7112299465240641,0.8183492201039861,0.7560883378590484,0.03812580498491681,9180.0,9336.0,,,,,,,,,,,,,,True,balanced,gini,130,8,8,54,,,,,,,,,,,,,,,
