uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RidgeClassifier_alpha,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_degree
,minmax,0.5,ridge,26195509,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6384794760143468,0.6717886038811006,0.6572196747629117,0.015053301499829582,0.10023106711127124,0.12781814119687762,0.11544648317764147,0.010348204114982834,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.996918659112247,,,,,,
random_under,minmax,1.0,ridge,30597144,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11081226465841851,0.15179677819083023,0.13259526955102333,0.013174660906034221,0.65086887835703,0.7060518731988472,0.6713357328262276,0.018514055552551714,0.18938175132153529,0.24987251402345742,0.22127589259430747,0.019404228598457765,0.6812875496501272,0.7587440620688303,0.7189105514140731,0.025621259269516517,0.11487443630909097,0.17032496779085352,0.1411739306868841,0.01812753726584207,0.6227807486631016,0.6809110629067245,0.6540061436207202,0.020346344040548674,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.522661470250995,,,,,,
adasyn,minmax,1.0,xgb,19415165,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9181.0,9312.0,,,,,,,,,,,,,,,,,,,,,1,0.7,aucpr,0.0,17,binary:logistic,34,21963,,,,,,,
random_under,minmax,0.1,nb,29068489,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0898876404494382,0.22002635046113306,0.16393745800533102,0.042076278183878255,0.05055292259083728,0.5576368876080692,0.36747191422854153,0.17837995986279986,0.06471183013144591,0.3019891500904159,0.21850159271831457,0.08214702535630278,0.7003652321071516,0.7802075549011944,0.7407705806252463,0.027745676928085477,0.11315453456812302,0.20037792871859494,0.15739302007883132,0.028823507227021365,0.7734273318872017,0.9010695187165776,0.8272210689276586,0.04648254003761952,9185.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.3,lr,10787533,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10992243915485424,0.1598755832037325,0.13227157319786553,0.01632908337585947,0.6492890995260664,0.7406340057636888,0.6870488884728325,0.029851352307585413,0.18801463860933212,0.2629828600665131,0.2216435118026939,0.024467995529780462,0.6834261160425099,0.7715308000915385,0.7197641562436752,0.03204311747560562,0.11735776721443134,0.17397394284355633,0.14020465057158998,0.020455444742077118,0.6122757726388589,0.6879332755632582,0.6457408087044867,0.02730012566366773,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,0.9788915199917966,20000,elasticnet,saga,
random_over,minmax,1.0,rf,32501661,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5338983050847458,0.6663157894736842,0.595643349868152,0.044182382217773805,0.9956772334293948,1.0,0.9985679326389001,0.0015785505192589006,0.6957831325301205,0.7997473152242577,0.7452546916956412,0.0347756009721217,0.9985440365155304,0.9996118060966015,0.999102118599201,0.00041121568511059064,0.9856303593419402,0.9947182955414596,0.9902542078282689,0.0036996440474399545,0.9343587521663779,0.966096256684492,0.9494391719742843,0.010885691824329453,8051.0,8617.0,,,,True,balanced_subsample,gini,24,8,9,177,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,1.0,rf,31957693,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5680672268907563,0.6620320855614973,0.6061466288058963,0.03529170191910797,0.9654178674351584,0.9796557120500783,0.9752140711515447,0.005269876899522463,0.7176220806794055,0.7895408163265306,0.7470798237678979,0.027543978266923636,0.9950440242401659,0.9969007918104499,0.9959284810754803,0.00076301355051051,0.9644339325347466,0.9748512730708748,0.969739583056173,0.004135673880331094,0.9423743500866552,0.9647058823529412,0.9514324963954204,0.008085393721722208,8076.0,8649.0,,,,False,,gini,188,8,8,244,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.5,nb,13894175,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10356933879461673,0.1412373675129406,0.1194144905736616,0.012571713229174976,0.8256484149855908,0.8729050279329609,0.8483945668051218,0.018921642711343972,0.18437499999999998,0.2412123763418228,0.20906124851845642,0.01889925620460297,0.7010800018340441,0.7805999353289549,0.7409341827289897,0.027476633828806326,0.11281483656492661,0.20008455750752063,0.1569691422652856,0.02876660444302721,0.45915279878971255,0.6095103986135182,0.5278567148131088,0.0506332340199014,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.5,svm,30206753,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.04738562091503268,0.07204610951008646,0.05828186393409927,0.008500754499267278,0.04538341158059468,0.06983240223463687,0.0558925465582487,0.008664122977025972,0.046362909672262184,0.07092198581560284,0.05705799835634874,0.008582146128133504,0.43105263301806573,0.5081394253230056,0.47432816972405345,0.027900398420258866,0.058199559824330845,0.07830396739108311,0.06824992270387628,0.007036954582431038,0.8584395936892155,0.8762566844919786,0.8653166530757973,0.006938756845554172,9220.0,9350.0,,,,,,,,,,,2.41,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.8,svm,11406629,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.15177713736791545,0.20126448893572182,0.176756379706625,0.02190534052360991,0.19134078212290503,0.3688760806916426,0.276788518955299,0.058330037111858406,0.18438761776581425,0.25989847715736036,0.21344931540807757,0.028679202015605018,0.6985156023321356,0.773593286632468,0.7320004838811425,0.02807309016709833,0.12589091235785427,0.18752208816987753,0.15857141811925027,0.023117989613741435,0.8360797918473547,0.8690296088178086,0.8530343840535565,0.012413452208780928,9220.0,9350.0,,,,,,,,,,,2.85,poly,25000,False,,,,,,,,,,,,,,,,,,,,,3
