uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RidgeClassifier_alpha
adasyn,standard,0.7,knn,17915204,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.24210110584518169,0.277800744109136,0.2632458053579717,0.013585522580771538,0.9650837988826816,0.9765258215962441,0.969899062374236,0.003835032167082569,0.3873617693522907,0.43173787343398656,0.41390313297925746,0.01679994461531845,0.9516083045104959,0.961954371809905,0.9570281302227153,0.003506852147219139,0.6943642888414637,0.7596613766303099,0.7222661726494121,0.021047921931992893,0.792620320855615,0.8081344902386117,0.7996982384880821,0.005827232327788635,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,14,uniform,
random_over,standard,0.3,knn,13479128,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.26838235294117646,0.321247892074199,0.3017345790707241,0.021092213631409763,0.46129541864139023,0.5489913544668588,0.5014295498838212,0.03231429579974795,0.3393375944218478,0.4053191489361702,0.3763974118045275,0.0228684778528662,0.8437860285467139,0.8801884506154212,0.8592745349244284,0.01403680211673914,0.28566408202576166,0.37551253250875133,0.33735538300321516,0.03144260111684102,0.8773850823937555,0.8804772234273319,0.87904187545548,0.0011192020169180845,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chebyshev,17,uniform,
random_under_bootstrap,minmax,0.1,nb,21981474,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12029459901800327,0.21049493142516398,0.1760751313836396,0.03065368147859467,0.1564945226917058,0.5086455331412104,0.35844409466460775,0.14017675072583807,0.15849056603773584,0.2977646562631801,0.22770589506236708,0.0538520810686578,0.6993971033340637,0.7815748108304423,0.7415655742576032,0.027999418473915214,0.1120635334211342,0.20136129380968654,0.1569633680602937,0.02910136255462732,0.7997830802603036,0.896357328707719,0.8300657662264683,0.035342659776723316,9178.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.8,knn,14063685,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1887298747763864,0.2382423618262959,0.2141599408196897,0.0193445690445569,1.0,1.0,1.0,0.0,0.31753197893152746,0.3848073191017466,0.3523525501293804,0.026237600498297153,0.9998827117053718,1.0,0.9999648299962629,4.6907086387902525e-05,0.9985632183908046,1.0,0.9995687587860747,0.0005748161486684381,0.7089839572192513,0.7596403812824957,0.7307517488511269,0.021544022210923823,7232.0,7789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manhattan,23,distance,
,standard,0.5,svm,26462236,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,1.0,0.325,0.3840572873934304,0.0,0.001564945226917058,0.0008805030923623048,0.0007210419688079701,0.0,0.003125,0.0017521988315234646,0.001435479817909221,0.5838702714693248,0.673361098678699,0.63492036898175,0.029741927837717584,0.08954743238178277,0.145341046052112,0.1245358127525664,0.019040522736321678,0.9219796844607737,0.9322994652406417,0.926933460076517,0.003945530742227734,9220.0,9350.0,0.85,3,poly,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,1.0,lr,28300533,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10726995424504321,0.15248329944815567,0.12727003886309002,0.014671606238603849,0.6536312849162011,0.7564841498559077,0.6903714158003761,0.035932766772964225,0.18480402890299977,0.25380710659898476,0.21476909668967922,0.02250289154886623,0.6740937000671333,0.7652690835275827,0.7117461117525103,0.032831148976818096,0.11482469162687589,0.16716139814546616,0.13547030892071027,0.019050082212779606,0.6018181818181818,0.6656195840554593,0.6300774233937751,0.02382896561335585,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,0.5378422855592558,20000,elasticnet,saga,,,,,,,,,,
,standard,0.5,rf,4611678,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9928469241773963,0.9984375,0.9953415453602199,0.0018298529768563316,1.0,1.0,1.0,0.0,0.9964106245513281,0.9992181391712275,0.9976644920850957,0.0009188351083541743,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9994584055459272,0.9998915871639202,0.9996543023939755,0.00014366636575741476,5229.0,6092.0,,,,,,,,,,,,,,False,balanced_subsample,entropy,486,1,8,499,,,,,,,,,,,,,,,
smote,minmax,0.3,knn,8095821,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4589041095890411,0.4966698382492864,0.48038128999361973,0.014501854444194802,0.7108938547486033,0.7521613832853026,0.7292062797829288,0.014318097543424203,0.5647200481637569,0.5982808022922637,0.5790168188468983,0.011502874550912416,0.9453541413935205,0.9553171513957266,0.9513040260300041,0.003272746160753319,0.6772280162963265,0.7136918823728892,0.6959971616047923,0.015730521431275644,0.919926518262373,0.9254545454545454,0.9227470307136978,0.001913850516707999,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chebyshev,6,uniform,
random_under_bootstrap,minmax,0.7,xgb,20225932,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12609561752988047,0.17988595127008813,0.14960065749522186,0.019182787220376807,1.0,1.0,1.0,0.0,0.2239518839554219,0.30492091388400705,0.25978345935353747,0.02888699278355145,0.9516734983052542,0.9599791477168418,0.9556406451495898,0.0026475458566880307,0.472890892005033,0.50255986597178,0.4924757058068755,0.01039092897749116,0.5308021390374331,0.6572790294627383,0.5799344713891063,0.0456997005447353,9207.0,9329.0,,,,,,3,0.1,error,3,46,binary:logistic,88,1836,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,xgb,18342226,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.13135505291554264,0.1648847707293894,0.1482030961926643,0.011215890311720923,1.0,1.0,1.0,0.0,0.23220836390315477,0.28309198449928613,0.2579816479459812,0.01701824845078714,0.9102785313373928,0.942525802599398,0.9282790548519039,0.0114848218551414,0.42184780856489207,0.5408906854222578,0.4690912242832169,0.04584265871661007,0.5493840501404798,0.6192590987868284,0.5792569287462991,0.025934773870675124,9131.0,9277.0,,,,,,1.5,0.1,aucpr,3,6,binary:logistic,80,19489,,,,,,,,,,,,,,,,,,,,,,
