uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,RidgeClassifier_alpha,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
smote,standard,1.0,ridge,334346,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0963707699852869,0.11915455746367239,0.10985505591932447,0.007846799145586647,0.6208530805687204,0.654178674351585,0.6378267819785379,0.012967475360551244,0.1668435576310762,0.2013842375530252,0.18735988555673713,0.011984316070884576,0.6420725349913672,0.6787481022288558,0.6621180189642472,0.01527038094273244,0.10044557400611892,0.12729355003122048,0.11436952442303779,0.010050570809019195,0.5788848065701319,0.6125433275563258,0.5958805031164703,0.014663077284761085,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9510613476843446,,,
,minmax,0.8,sgd,4099642,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6297541746702211,0.6659034477350515,0.649410228036988,0.013613212707007572,0.09881121622013071,0.12203946015409271,0.11195881449145015,0.00887571527353928,0.9226280527339529,0.9322994652406417,0.9269547772622321,0.003785799469025952,9220.0,9350.0,,,,,,0.5184613888190743,True,0.7096199068845553,adaptive,modified_huber,l1,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.7,rf,4894628,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.42755035737491875,0.43971119133574005,0.4363616949363247,0.004531392387278875,0.9427374301675978,0.9553314121037464,0.9506867401037248,0.004672435707318518,0.5893416927899686,0.6021798365122616,0.598155747476208,0.004757888245368868,0.9825008408024068,0.9864452228155706,0.9845855505294019,0.0015584816947434848,0.8842308202024767,0.9082125244826632,0.8972931876281235,0.007881740295200314,0.9006715771230502,0.9140106951871658,0.9067693528597097,0.005553170878555142,8027.0,8512.0,,,,,,,,,,,,,,,,,,,,,,,,True,balanced,gini,85,7,5,68,,,,
smote,standard,0.8,sgd,1849540,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11006743737957611,0.14868804664723032,0.12811302175006994,0.013022451893741838,0.721958925750395,0.80835734870317,0.7588816415521884,0.028260563954032484,0.1910135841170324,0.25117528542646067,0.21909983863281254,0.02021425493498333,0.704549280962315,0.7783393177677282,0.738296858344048,0.027637836630876236,0.12164496199494892,0.1694792011875101,0.1465365115021309,0.019323209529787912,0.5859893048128342,0.6376733102253033,0.6041383821240395,0.018705913203804308,9220.0,9350.0,,,,,,0.9259297085969787,False,0.579133773534386,adaptive,hinge,l1,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.7,lr,12306093,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11580775911986103,0.18168389955686853,0.14458296978592694,0.02239969569142974,0.31564245810055863,0.531700288184438,0.3934612070077296,0.07977523647645171,0.1694915254237288,0.2708256880733945,0.21130777655015623,0.0352444978850671,0.6643999353530912,0.7590294752802019,0.7015998180677262,0.03472261631573482,0.11027926387053932,0.1649203062148203,0.13118459515125264,0.019215394647869675,0.780851523665442,0.7940156114483955,0.7874427131948061,0.004526382172231253,9220.0,9350.0,,,20000,none,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.8,svm,7180830,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568310122419235,0.7156246055100001,0.6897511014952562,0.020836109311699585,0.1637708860383005,0.20528017898401524,0.1810632179496297,0.01514288800065348,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9210.0,9343.0,,,,,,,,,,,,,,,,,,,,1.71,rbf,25000,False,,,,,,,,,,,
adasyn,minmax,0.8,lr,21625582,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1111111111111111,0.17448246725813266,0.13817211718993816,0.021156669119355993,0.4134078212290503,0.5951008645533141,0.5002883490422552,0.06425945072887683,0.17786187322611163,0.2698464554067298,0.21636554423673587,0.031576825298782744,0.6664201512528283,0.7554037113619196,0.7029637466109262,0.03217747682335508,0.1121826413547529,0.16279311239493907,0.13167785593039533,0.018126580570418827,0.7211764705882353,0.7579072790294628,0.73534356614698,0.012620049494739917,9220.0,9350.0,,,20000,none,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.3,ridge,18965268,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.15217391304347827,0.09146748010274082,0.058052726495472,0.0,0.012519561815336464,0.00624145522848999,0.004848798553673169,0.0,0.022922636103151865,0.011632140281036612,0.008936571476094437,0.6384963303714972,0.6718715719451877,0.6582373502557651,0.014434104206590867,0.10046046418748032,0.12665332127282464,0.11424125808885452,0.009781983285376175,0.9205748865355522,0.9298395721925133,0.923840796830073,0.0035738165404018245,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91922899816139,,,
random_under_bootstrap,standard,0.3,nb,10441403,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10681916271040139,0.17223011363636365,0.13584492946932605,0.021803195305951227,0.5633802816901409,0.8371757925072046,0.7377312855209202,0.09858288819525499,0.1879627871653693,0.2763532763532764,0.22736934527024982,0.028467067690683558,0.6991843397287462,0.7817710010443226,0.7423620280889629,0.028220627736290523,0.11274005744982804,0.20203702592177056,0.1586369191477729,0.02897923418625111,0.5425668449197861,0.7388334778837814,0.6245339676259423,0.08798656475320799,9181.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,rf,28723602,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.21379310344827587,0.3144712430426716,0.26215922084448257,0.037548507736493764,0.9711815561959655,0.9812206572769953,0.9764548041556088,0.0037082692601019328,0.3509765072176621,0.47578947368421054,0.41189099527485185,0.046324366056388115,0.9338180139006764,0.9490858970542271,0.9418339132181289,0.005606481672945684,0.4521886779660473,0.5586749673674574,0.5171984594607891,0.03930685039561343,0.75475935828877,0.8381715771230502,0.7936524016585654,0.031720998003364045,8967.0,9290.0,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,363,5,3,203,,,,
