uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed
random_under_bootstrap,minmax,0.5,xgb,1913258,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.20120788302606485,0.2919646613378208,0.24525611196614733,0.029758768610297946,1.0,1.0,1.0,0.0,0.33500926170944695,0.4519700423314881,0.39298866584397507,0.038343950748117174,0.9807962529657095,0.9852129294304441,0.9822976441008237,0.0015366346029983683,0.6460891831697548,0.6918610026907205,0.672057720304082,0.015026465260849275,0.7312299465240641,0.8176993067590987,0.7725387335591904,0.02779468225419727,9118.0,9267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,aucpr,0.0,40,binary:logistic,76,1184
smote,minmax,1.0,svm,13876122,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07571265678449259,0.08542482155192263,0.08126543645796613,0.003940866946493521,0.5167597765363129,0.5355450236966824,0.5273416228257073,0.007755447992114711,0.1321656050955414,0.14730990669049035,0.14079269047399837,0.006007536940115178,0.528518187361404,0.554829742689086,0.5435089529185595,0.009036196382753596,0.07875380147384414,0.09654737151316645,0.08754604455916426,0.006247104117056511,0.5188026799221958,0.5373262032085562,0.5306284746024407,0.006814278672150047,9220.0,9350.0,,,,,,,,,,,,0.89,,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,
smote,minmax,0.3,sgd,23429405,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3924888846525393,0.618225550806945,0.4972259651910195,0.09359456987934606,0.05129124028707493,0.08706499827509527,0.07044068507832597,0.014473985795194589,0.9224119299762265,0.9322994652406417,0.926131262126708,0.003723226695544101,9220.0,9350.0,0.18326843473293364,False,0.7575538841471554,constant,huber,l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,xgb,4117380,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.17238562091503268,0.2519056261343013,0.2091971404420223,0.027243824638961633,1.0,1.0,1.0,0.0,0.29407665505226477,0.4024354885474051,0.34517438447202997,0.03709548623378037,0.9572883827934532,0.9600299826327631,0.9583729474234968,0.0012840102498619533,0.4704684668734921,0.5012823261488728,0.4891197308636584,0.010775462771902602,0.6749732620320855,0.7767547660311959,0.7201351532895504,0.034873020960783256,9212.0,9349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3,aucpr,3,52,binary:logistic,6,48013
random_under_bootstrap,standard,0.3,lr,14401611,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09876543209876543,0.16149068322981366,0.1265892230316556,0.021006853069050202,0.631911532385466,0.7492795389048992,0.6785029832475621,0.0399595956461832,0.1708306641042067,0.26571282575370464,0.2130460141197712,0.03176234745253431,0.6484741098045057,0.7723128606946534,0.7040234375182105,0.0455310113130755,0.10352834434864315,0.17313222425034924,0.1330805485885387,0.023433089855078575,0.5847058823529412,0.6886915077989602,0.6293694084318734,0.041026517621062165,9220.0,9350.0,,,,,,,balanced,,20000,none,saga,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.1,sgd,23121327,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.2,0.08748431106657942,0.06489608527025903,0.0,0.6382306477093207,0.3241822813941334,0.28109972377337217,0.0,0.16178416178416177,0.08330724388441761,0.06943751928479329,0.4171003178691123,0.6482531766018358,0.5846015819489765,0.08593370642285525,0.060228135581808076,0.11779006020220391,0.0955577124712366,0.01964247095528192,0.49925133689839574,0.9303989592367736,0.6781709145188828,0.2036641854900122,9220.0,9350.0,0.4290286492512856,True,0.9921808695130256,adaptive,squared_loss,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.3,rf,21676490,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.28734061930783245,0.3722431414739107,0.3331212111934893,0.03259095092296502,0.9899135446685879,0.9971181556195965,0.9949974725622855,0.0026265994325362454,0.4460940261576529,0.5421073247160204,0.49821308875875303,0.03648324766331504,0.965525371234076,0.9703171210728214,0.9673905069939188,0.001807333363896246,0.6329165884850307,0.6694269721488888,0.6507347020738594,0.01268094349921619,0.8324064171122995,0.8733752166377816,0.8530018560217558,0.016672935795979994,8589.0,9105.0,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,411,6,4,195,,,,,,,,,
,standard,0.3,lr,31861221,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10939989378651088,0.1585139318885449,0.13071065666242393,0.016038940499253737,0.65086887835703,0.7377521613832853,0.6829080005143251,0.029648854222932418,0.18731529893157534,0.2609582059123344,0.2192330324576895,0.02404435993637674,0.6796310545952304,0.7673936758738524,0.716011652970713,0.03203934818241152,0.1160952897744364,0.1711475613478471,0.13826126972466019,0.019853630348274677,0.6096822995461422,0.6858752166377816,0.6429309346239788,0.027578619683486367,9220.0,9350.0,,,,,,,balanced,,20000,none,saga,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,1.0,ridge,22485801,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09179316888045541,0.13219675796534378,0.1152926620207995,0.01512851826411746,0.6113744075829384,0.6979655712050078,0.658012120175988,0.030001982012581137,0.15962054031759126,0.22144194756554308,0.19601001510525956,0.023260365296577604,0.6242402626670008,0.7321626777425051,0.6730211540613503,0.04266199738498713,0.0987173894997432,0.14211638338831206,0.12032578191587935,0.01748070135470215,0.5568402852820402,0.6588248048568951,0.6022866184091512,0.040559673508903035,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04047465668766015,,,,,,,,
smote,standard,0.1,knn,3329106,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,minkowski,3,distance,,,,,,,,,,,,,,,,
,standard,0.7,rf,22279883,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7711111111111111,0.8554054054054054,0.8068378879874757,0.031724632319228535,1.0,1.0,1.0,0.0,0.8707653701380176,0.922068463219228,0.8927536331969751,0.019377601768081554,0.999893020907061,0.9999648183542463,0.9999157665325444,2.520291437942462e-05,0.9983243275163659,0.9994424866426813,0.9987291195448895,0.00038593452085735366,0.9776863084922011,0.9885561497326203,0.9822649685939853,0.004156348166165133,1271.0,1423.0,,,,,,,,,,,,,,,,,,,,False,balanced,gini,301,3,8,8,,,,,,,,,
