uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,SVC_degree
,standard,0.8,sgd,65293,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.08108108108108109,0.016216216216216217,0.032432432432432434,0.0,0.004189944134078212,0.0008379888268156424,0.0016759776536312847,0.0,0.00796812749003984,0.0015936254980079682,0.003187250996015937,0.5355582956624964,0.6456300127654433,0.6034448146484614,0.03725746878276392,0.0744253016968299,0.10953439502984909,0.09524201664926896,0.012150128520158223,0.9192781499891939,0.9322994652406417,0.9263064792804963,0.004702670553315789,9220.0,9350.0,,,,,,,,,,,,,,1.2422443932779184,True,0.5730995958734274,invscaling,modified_huber,elasticnet,,,,,,,,,,,,,,,,
,minmax,1.0,nb,22716412,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.14285714285714285,0.23205741626794257,0.18609112692483434,0.0291854182941015,0.02843601895734597,0.4783861671469741,0.2891743168720334,0.16636334835150976,0.04743083003952569,0.29876796714579057,0.20567888300053178,0.08815681383798908,0.7005602352070848,0.7811126457545619,0.7410883245637329,0.027868124841598216,0.1132479093181952,0.2008867418713866,0.15771001397471543,0.02894205910953202,0.8039045553145336,0.9226737967914439,0.8585978666707683,0.04442151820168572,9187.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.1,ridge,20934863,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.2,0.04,0.08,0.0,0.001440922190201729,0.0002881844380403458,0.0005763688760806915,0.0,0.002861230329041488,0.0005722460658082976,0.0011444921316165952,0.6362978324964569,0.6701994406427141,0.6555018714114319,0.015305549093183069,0.10011722305405538,0.12802741605739779,0.1149517644725608,0.010318352366416476,0.9226280527339529,0.9320855614973262,0.9268252474311979,0.0037096877802519903,9220.0,9350.0,,,,,,0.884713926560548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,1.0,svm,21413718,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6780403641026903,0.7349972288659683,0.7093002504845545,0.019022521531743608,0.17963846105599252,0.216480816487633,0.19232382050607696,0.01358384064469376,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9210.0,9343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,rbf,25000,False,
adasyn,minmax,0.8,knn,24680906,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chebyshev,18,distance,,,,,
smote,standard,0.1,rf,11293431,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.911957950065703,0.9547511312217195,0.9360378739125548,0.016789691913404584,1.0,1.0,1.0,0.0,0.9539518900343642,0.9768518518518519,0.9668844822513559,0.008980066993431254,0.9999998312342246,1.0,0.9999999662468448,6.75063101418516e-08,0.9999979252369517,1.0,0.9999995850473903,8.299052193017075e-07,0.9927426343154246,0.9967914438502674,0.9949599619852609,0.0015358560102994934,4208.0,5126.0,,,,,,,False,balanced_subsample,gini,307,3,6,195,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,1.0,knn,5768813,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12063574778530485,0.17599752551809464,0.14921072434953095,0.019250739900559224,0.731437598736177,0.8198847262247838,0.770182964535417,0.03073140149874631,0.20711250279579513,0.28978864272981913,0.24969790659062427,0.028620058043328185,0.7348449879400731,0.814596113121674,0.7758426678586924,0.028561850901551618,0.14914953092909525,0.2705226837285678,0.22024750769063722,0.04367537996108916,0.620855614973262,0.6978986135181976,0.6597140059087317,0.02983426579079411,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,12,uniform,,,,,
,standard,0.7,nb,12705099,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.14285714285714285,0.23205741626794257,0.18609112692483434,0.0291854182941015,0.02843601895734597,0.4783861671469741,0.2891743168720334,0.16636334835150976,0.04743083003952569,0.29876796714579057,0.20567888300053178,0.08815681383798908,0.7005604164367314,0.7811126457545619,0.7410883645512791,0.02786808771542484,0.11324793924275743,0.2008867418713866,0.1577099964643651,0.028942055452091928,0.8039045553145336,0.9226737967914439,0.8585978666707683,0.04442151820168572,9187.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,rf,3296635,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1836734693877551,0.27458087902129585,0.22592888465124256,0.03164447901426622,0.8731988472622478,0.8957345971563981,0.8882532879115448,0.008488499117329108,0.30483870967741933,0.41778697001034126,0.3589399954255222,0.039233398743513476,0.8858303969599816,0.9179207651435218,0.8976997293501461,0.012489570920958596,0.3478441125620829,0.4449542980028327,0.3895995734504759,0.03795398564536289,0.7234224598930481,0.8170493934142115,0.7653787133184669,0.033658610684784984,9219.0,9349.0,,,,,,,True,balanced_subsample,entropy,89,8,7,216,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.8,rf,4770507,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0000000000000002,1.0,9.930136612989092e-17,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2591.0,3154.0,,,,,,,False,balanced_subsample,gini,354,1,5,112,,,,,,,,,,,,,,,,,,,,,,
