uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose
random_under_bootstrap,minmax,0.5,rf,3165608,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.22842639593908629,0.325,0.27377402678213975,0.03238034583724037,0.9913544668587896,0.9958100558659218,0.9941051479200121,0.0017299526776922332,0.37157180772633436,0.4896943852167733,0.42828266092445233,0.03950708447664968,0.9542091484536435,0.9605903589530453,0.957786429329856,0.002140660538297027,0.5495560875771568,0.6162409028604445,0.575769529273536,0.02435361226523959,0.7720855614973262,0.8444540727902946,0.8046101431621626,0.024968290541266588,8690.0,9122.0,,,,,,,,,,,False,balanced,entropy,372,5,4,385,,,,,,,,,,,,,,,,,,
adasyn,standard,1.0,ridge,7805280,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09656453110492108,0.11889035667107001,0.10956385804063387,0.007700507262259453,0.6484149855907781,0.6628242074927954,0.6540901374341989,0.005328664916217614,0.16838696620117388,0.20093770931011387,0.18756610376394472,0.011315877864765888,0.6412865420132912,0.6789502836277621,0.6614129094946215,0.015950369168829522,0.10026813423885389,0.1264181774560878,0.11383755930738255,0.010010726478073747,0.5605347593582888,0.6123266897746967,0.5860296428210618,0.01824359695016502,9220.0,9350.0,,,,1.8025799976030965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,1.0,nb,33108117,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0855290968014654,0.12983957219251338,0.10845255926883741,0.014631909254564066,0.8591549295774648,0.9589257503949447,0.9169519916124684,0.041555892308256064,0.15705045278137128,0.22611287018066684,0.19341420539778517,0.0227289055301852,0.7006339956733234,0.7835839673863516,0.7430489086410944,0.02905725062151409,0.11285991549538185,0.2052962949649281,0.16047865645004206,0.03044798718718479,0.30310160427807487,0.5499350086655113,0.4311522342465147,0.097470469624615,9195.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,1.0,sgd,6734581,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.090263107355483,0.14443021766965428,0.12090565835084299,0.0183840481531819,0.7214397496087637,0.8126801152737753,0.7557288952568474,0.030525137233700362,0.16095890410958905,0.24527071102413567,0.2080439983257954,0.0284785381610689,0.6223204970186818,0.7751827227050048,0.7160463866237432,0.052680197258415794,0.09648631688663109,0.16720781373039828,0.13822851137813624,0.026212761604108924,0.47593582887700536,0.624025129982669,0.5741439592199751,0.053006732758334486,9220.0,9350.0,,,,,1.960232413614637,True,0.8466531568189751,adaptive,huber,l1,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1.0,rf,21217427,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,1.0,7.021666937153402e-17,0.9999999999999999,1.0,1.0,7.021666937153402e-17,1.0,1.0,1.0,0.0,868.0,964.0,,,,,,,,,,,False,balanced,entropy,258,1,4,355,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,knn,33289947,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.13709412922269595,0.19196757553426677,0.1678764733329024,0.01895616483136691,0.660347551342812,0.7507204610951008,0.7055879842336894,0.030101417637595784,0.22705051602390003,0.3057511737089202,0.27099566948808795,0.027035420918158568,0.745752747305523,0.8151055326146611,0.7841873059229014,0.02323005000599178,0.16884725156913774,0.25228542649963176,0.22259143834064612,0.03051331091827409,0.695614973262032,0.7437175043327556,0.7218996253169907,0.017072576900026823,8.0,8.0,chebyshev,7,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.5,ridge,24840919,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1259259259259259,0.19679633867276888,0.15741844213806783,0.024517623000133618,0.04748603351955307,0.1239193083573487,0.08292855681644401,0.02496038961670434,0.06896551724137931,0.15207780725022105,0.10785271967153123,0.026921925364265634,0.652065331328494,0.7007468898155256,0.6672087976774783,0.018448356129747115,0.1056211912704684,0.14032038251452833,0.11858894385951058,0.012686529027573137,0.8961221837088388,0.9050267379679144,0.9015477900274884,0.003029905983484867,9220.0,9350.0,,,,2.6532213427144224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,ridge,16619619,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07692307692307693,0.1858974358974359,0.13857693027717202,0.03601346812680321,0.018156424581005588,0.08357348703170028,0.05994076801575663,0.02212942365015251,0.029378531073446335,0.11530815109343935,0.08314942508538511,0.02886326050197706,0.6397676563436447,0.6736115470893642,0.65923927031148,0.01463351602480845,0.09996200228127064,0.1263753343316819,0.11402438373947357,0.009784214577860271,0.9019522776572668,0.9083422459893048,0.9057613325748456,0.0025209087700415593,9220.0,9350.0,,,,1.7684471137072726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.3,nb,10490086,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11532663316582914,0.1548329355608592,0.13141219272820837,0.013353709485015975,0.7230046948356808,0.8226256983240223,0.7656771528360189,0.0423650034816311,0.19900281812269674,0.25654967869500744,0.22396847825738248,0.019322419822677638,0.69750796549605,0.7794315698659934,0.7389910163119741,0.028257902743124157,0.11132185122521512,0.19888191230182034,0.15546928880728755,0.028890570513323742,0.5364166846768965,0.6741767764298093,0.6100106594985955,0.04599528288064281,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.1,xgb,31812382,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,1.0,1.0,1.0,0.0,9216.0,9343.0,,,,,,,,,,,,,,,,,,,,,,,1,0.7,aucpr,3,36,binary:logistic,19,25860,,,,,
