uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose
smote,standard,0.8,knn,6230831,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4507845934379458,0.4873200822481151,0.4743959217338157,0.013622700024602672,0.9884726224783862,0.9984202211690363,0.9929512486603299,0.0033794477911379024,0.6211302211302211,0.6537931034482758,0.641908452693903,0.012105407357144235,0.9969972556493429,0.9986011789713443,0.997520436841502,0.000562330085476766,0.9836058896538312,0.991627605072077,0.9864124640763856,0.0027410568483095645,0.9175401069518716,0.921400693842151,0.919300510709461,0.0014557911605891003,5.0,5.0,,,,,,,,,,minkowski,4,uniform,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.7,lr,8368827,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11028434759500398,0.16040100250626566,0.13172943585232452,0.01634323639219517,0.655608214849921,0.7377521613832853,0.6853127397813463,0.028325378143078287,0.18880800727934485,0.2635100360267627,0.22077469522950138,0.024362969296152944,0.6825192272207979,0.769009608173124,0.7174950872943844,0.0315944088418783,0.11637744260052882,0.1703026033590969,0.13842855827695064,0.01929781881092395,0.6143289388372596,0.6899913344887348,0.6448109423129753,0.027619079672987035,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,20000,none,lbfgs,,,,
random_under_bootstrap,minmax,0.1,lr,4269844,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.1724137931034483,0.07448275862068966,0.06631456762066548,0.0,0.00782472613458529,0.0021413141029977497,0.0029138538796311757,0.0,0.014970059880239521,0.004130375612411541,0.005566762223151923,0.6290477415070803,0.6713088210229474,0.6525802451131139,0.014983139370132896,0.09812909167198314,0.12277487368970258,0.1129928321877024,0.008870984431294792,0.9217635617030473,0.9322994652406417,0.9261097381635922,0.003831575738140566,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,l1,saga,,,,
random_under,standard,0.5,xgb,9777663,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.21356275303643724,0.29431721798134014,0.2535120901920264,0.030561323545117265,1.0,1.0,1.0,0.0,0.3519599666388657,0.4547837483617301,0.4035347753408122,0.03889288755427614,0.9787725563897085,0.9850715041922343,0.9816748335287034,0.0023744883055258764,0.6277991063297943,0.7185162677618091,0.664274653348533,0.03108628496415183,0.7506951871657754,0.8197573656845754,0.7824153112066325,0.026366673698741308,9154.0,9307.0,,0.5,0.7,error,1.5,41,binary:logistic,83,42078,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,ridge,21441626,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07692307692307693,0.1858974358974359,0.13857693027717202,0.03601346812680321,0.018156424581005588,0.08357348703170028,0.05994076801575663,0.02212942365015251,0.029378531073446335,0.11530815109343935,0.08314942508538511,0.02886326050197706,0.6397674751139979,0.6736120533866904,0.6592395015622533,0.014633499234682611,0.0999619458545658,0.12637558044062663,0.1140245156035677,0.009784257262618994,0.9019522776572668,0.9083422459893048,0.9057613325748456,0.0025209087700415593,9220.0,9350.0,1.4896409444108176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.8,nb,21553115,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09651844191658049,0.13337771859742564,0.11273875470376851,0.01216910179850706,0.8659942363112392,0.9008379888268156,0.8857404225001542,0.012655704309923431,0.17404817404817405,0.23115384615384615,0.19975030293723342,0.018832915852084284,0.698579032708508,0.7823867429757998,0.7401651945034389,0.029037963537435613,0.11218852058077043,0.2068889888585823,0.1593223537087755,0.031161082235760675,0.42251999135508966,0.5669410745233969,0.47817296432882195,0.05152499151871776,9183.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.1,xgb,33088721,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.16808284652150823,0.23565365025466892,0.20018438725600413,0.02257325029921578,1.0,1.0,1.0,0.0,0.2877926801545806,0.38142346798571036,0.33300178226107224,0.031247680444568694,0.9552452656608446,0.9648772333737102,0.9612061344427272,0.0033838961041996666,0.5958285371685097,0.6672874236573683,0.6321051403893041,0.02546855288804992,0.6649197860962567,0.7561741767764298,0.7051807129333697,0.033833298651522896,9140.0,9309.0,,0,0.1,aucpr,0.5,6,binary:logistic,46,47819,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,1.0,lr,3620183,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11032608695652174,0.15475469412477286,0.13550689425670917,0.015449016280646275,0.641390205371248,0.7363112391930836,0.6881336082170464,0.034450444001920835,0.1882680268954324,0.25575575575575576,0.22628143460719902,0.023477014315460513,0.691646273800663,0.7620142667835876,0.7276881210371191,0.026758738680988797,0.12134562223811868,0.17044559420721173,0.14488444572124015,0.018180126629989437,0.6255614973262033,0.6778596187175043,0.6552527727073015,0.019645654375314913,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,20000,l2,saga,,,,
random_over,minmax,0.5,sgd,30433758,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.03148986419996064,0.1,0.0529625685909594,0.024541722948910934,0.004739336492890996,0.260806916426513,0.14301318456941028,0.09515023413388302,0.00904977375565611,0.08844368433911558,0.05345010460320282,0.02552071965464774,0.31840949636338683,0.4439571877651725,0.3978029904337582,0.04664651505384798,0.05029932242508249,0.058778847826024064,0.05626159571177044,0.003073548314406616,0.40835140997830804,0.9297326203208556,0.681309699014422,0.1800412537578944,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,1.41760093670558,True,0.10005637236311105,constant,squared_loss,l2,,,,,,,,,
random_under_bootstrap,standard,0.7,svm,16924397,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.1858974358974359,0.12971936269377354,0.06655761169063007,0.0,0.7521613832853026,0.4697897141226802,0.2591798815977818,0.0,0.2981153626499144,0.20195001404101215,0.10395716659339983,0.6617627736545012,0.782978688932948,0.7252212699004368,0.03997473598661166,0.11262699332016965,0.18226415930310758,0.14501729950247635,0.02323905977972602,0.6999132697311362,0.9322994652406417,0.7819994903936995,0.07993225960808291,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,linear,25000,False
