uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
random_under,standard,0.3,svm,25889675,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.3157894736842105,0.3953488372093023,0.3630318579828984,0.02617390814671226,0.004739336492890996,0.027377521613832854,0.015502397084729225,0.008914803214931837,0.0093603744149766,0.050938337801608585,0.029392792640058285,0.016391305690642306,0.6650287131190872,0.7327730647122239,0.7031468552561282,0.026138595337288524,0.12789997895126373,0.19052780750446463,0.1632453995299879,0.023634562565127217,0.9218716230819105,0.9320855614973262,0.9262186274425284,0.004070141133625233,9220.0,9350.0,1.99,poly,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
smote,minmax,0.1,svm,6710813,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6874156743889624,0.7564514092954838,0.7235938190289926,0.025676327220278645,0.1694138530250939,0.23481441222195035,0.20391182864153654,0.0235561570938156,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9211.0,9343.0,1.55,rbf,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,nb,3334846,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09582689335394126,0.15129562552242964,0.1200339652242806,0.0182344995265794,0.7809076682316118,0.8962536023054755,0.8455940231748478,0.05241343612758482,0.17286245353159851,0.253560588372636,0.2092828159514027,0.02630564782643881,0.6999754071369322,0.782933459705146,0.7417476795884079,0.028485831005173434,0.11310427910590039,0.20397863586814338,0.15870962607727362,0.029542262673449532,0.4288770053475936,0.6537045060658578,0.5231684296320689,0.08900717635563565,9181.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,sgd,9059206,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.034165338998052755,0.14434180138568128,0.08163626019226768,0.03971567073147754,0.2780979827089337,0.6469740634005764,0.43517999864986806,0.1230452857749971,0.06085448525934101,0.2108814846056516,0.13397491152544652,0.05622647951841154,0.28743288033687087,0.7031370908424728,0.5008091748499869,0.1577855873275918,0.048297310160825224,0.1205791196687646,0.07718981157030466,0.02618597036990341,0.35390455531453363,0.7971595836947094,0.5309885766759973,0.16072914858810092,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,0.0,True,0.6253520501455373,optimal,squared_epsilon_insensitive,l1,,,,,,,,
random_over,minmax,0.8,svm,7069006,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07843352347520842,0.3333333333333333,0.18294812580701364,0.09098573447977013,0.010086455331412104,0.9986033519553073,0.42778172405188053,0.4592863948729532,0.01958041958041958,0.18087095912369758,0.106167994888082,0.07107741257231577,0.7466092386161955,0.8190408973478795,0.7807061828193739,0.026725916621512906,0.15547807457964247,0.2419375906855752,0.203220824627058,0.030618427363011645,0.09206829479144153,0.928664353859497,0.6361161598508602,0.3536361690355168,9220.0,9350.0,0.95,poly,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,minmax,0.3,nb,25603108,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.14285714285714285,0.23205741626794257,0.18609112692483434,0.0291854182941015,0.02843601895734597,0.4783861671469741,0.2891743168720334,0.16636334835150976,0.04743083003952569,0.29876796714579057,0.20567888300053178,0.08815681383798908,0.7005602352070848,0.7811126457545619,0.7410883245637329,0.027868124841598216,0.1132479093181952,0.2008867418713866,0.15771001397471543,0.02894205910953202,0.8039045553145336,0.9226737967914439,0.8585978666707683,0.04442151820168572,9187.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.3,sgd,26738291,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.05405405405405406,0.1794871794871795,0.11954096525969904,0.04569166645851427,0.002793296089385475,0.02190923317683881,0.0130929841028317,0.0078907609341849,0.005312084993359894,0.03819918144611187,0.023417287167159954,0.013747496767690597,0.635240358537484,0.6874915195197872,0.6607435767130815,0.01965890956060644,0.09910361417441088,0.13157394911373074,0.11518996517784645,0.011205407768297652,0.9183275563258232,0.9289839572192513,0.9218496696346522,0.00401251048973508,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,0.736732297169362,True,0.6330299312237142,adaptive,log,elasticnet,,,,,,,,
adasyn,standard,1.0,svm,15905071,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11183714501130937,0.158356940509915,0.13377795797352382,0.016378356419983624,0.7030015797788309,0.8054755043227666,0.7437056159608781,0.03433479148483113,0.19297484822202948,0.2646780303030303,0.22658083625346775,0.025074225335998672,0.704821125432482,0.7786451213527185,0.7385686952518696,0.028000512055990353,0.12178916558440904,0.16828702404071993,0.14585430221057522,0.01900643725335679,0.6019251336898396,0.6635615251299827,0.6275664865512813,0.024720308898559796,9220.0,9350.0,0.25,linear,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,xgb,12716303,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.16234932033854835,0.23359138337260182,0.1941633199718079,0.024587255725503198,1.0,1.0,1.0,0.0,0.27934686672550746,0.37871759890859485,0.32448168247874215,0.03427237917215909,0.9623049796440755,0.9669197153173105,0.9642370258283766,0.001559705558998075,0.48392724721114083,0.54789605261593,0.5090786759989716,0.02288911576484206,0.6506951871657753,0.7533578856152513,0.6931616380061867,0.035639335049905393,9078.0,9258.0,,,,,,0,0.7,aucpr,1.5,57,binary:logistic,39,34786,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.3,sgd,11229360,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0931518502764781,0.05200251240706304,0.03015774954735981,0.0,0.6311239193083573,0.3453047939508101,0.20293118316838174,0.0,0.16234247590808007,0.09038620220417205,0.0525045316075101,0.39732570284028546,0.6325822143109092,0.4915308903780911,0.10487611431308315,0.051091842861495526,0.10222561269518614,0.07410761510753613,0.02214304492840349,0.4830343635184785,0.9306157849089333,0.5870638122686521,0.17219286630809194,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,1.659866475197007,True,0.4770455182220976,adaptive,squared_epsilon_insensitive,l2,,,,,,,,
random_under,minmax,0.7,knn,20610424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.20044331855604813,0.2693053938688397,0.2362528898695105,0.024733454486552457,1.0,1.0,1.0,0.0,0.3339488261672382,0.4243350657291348,0.3815590364997086,0.03244277355360353,0.9862379948465683,0.9927727429161408,0.9893546077785457,0.0024209956323196797,0.8735199138858989,0.9169960474308301,0.8948453415731331,0.015689007137193373,0.7299465240641712,0.7960355285961872,0.7620627981588737,0.023792550166271104,5379.0,6450.0,,,,,,,,,,,,,,minkowski,6,distance,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.8,lr,8520258,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11230585424133811,0.17606837606837608,0.13930324859060866,0.02144912440067738,0.40782122905027934,0.5936599423631124,0.49796868363965335,0.06502437623264284,0.17938931297709923,0.2715886618325643,0.21752858656367507,0.0319845001247399,0.6674353301899755,0.7569825151906073,0.7043375164067041,0.0324231136160848,0.11255217472538875,0.16374746633378398,0.1323389793572128,0.018320410384261753,0.7240641711229947,0.7606152512998267,0.7384126754874755,0.012540572081549394,9220.0,9350.0,,,,,,,,,,,,,,,,,,,20000,l2,lbfgs,,,,,,,,,,,,,,
