uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators
,standard,0.1,sgd,1253424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.06333333333333334,0.025150767853778032,0.0236703899935942,0.0,0.0792507204610951,0.03625079973751788,0.034038859388238085,0.0,0.045053868756121454,0.02578399107673971,0.021097111673767863,0.4094608743552303,0.5207229984649631,0.45865901874818354,0.04106597076821895,0.05511649485073197,0.07933722830699758,0.06516029381222797,0.00826401599868963,0.7357019064124783,0.9247288503253797,0.8550999216934148,0.07803503188491061,9220.0,9350.0,,0.0,True,0.22014345594885587,optimal,squared_hinge,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,xgb,2637919,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.16497263487099295,0.23816060398078243,0.19600782305450398,0.027295715502909077,1.0,1.0,1.0,0.0,0.28322147651006707,0.38470066518847007,0.32690622965271177,0.03785813318596963,0.959410177240782,0.9640631400076687,0.9611583061455153,0.0017713486397937517,0.5091568775688109,0.5591091441997731,0.5346641818918791,0.02205934732634261,0.6573262032085562,0.7595320623916811,0.6956422494949873,0.04023273447888824,9220.0,9345.0,,,,,,,,,,,,,,,,,,,,1.5,0.1,aucpr,1,10,binary:logistic,11,17723,,,,,,,
random_over,minmax,0.7,ridge,15762668,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10245901639344263,0.1414965986394558,0.12465483382242168,0.015003056536861263,0.20810055865921787,0.29971181556195964,0.2653106448765807,0.03635558967592793,0.14306151645207438,0.1922365988909427,0.16940310352070612,0.02081011953809975,0.6416589689374198,0.67701285252639,0.6612582705298522,0.015172978723992843,0.10048687916084235,0.12798016593768655,0.1149935832807772,0.010154975159697396,0.8078074866310161,0.813529921942758,0.8109190135050417,0.0020778686746341975,9220.0,9350.0,3.661257498671653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.1,rf,24230774,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.6317757009345795,0.8138925294888598,0.714472053622522,0.06689063422885487,0.9711815561959655,0.9812206572769953,0.9773117094814749,0.004008808681997103,0.7664399092970522,0.8896848137535818,0.8238402236823769,0.04563385287167081,0.9915608198958805,0.9974354192684449,0.9944399389422116,0.0022666193385420465,0.9058607043416396,0.9621023953964888,0.9335654593593651,0.02158207340972527,0.9553726169844021,0.9835294117647059,0.9687563556362753,0.010300927111789803,8153.0,8586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,balanced,entropy,486,5,6,405
random_under_bootstrap,standard,0.3,ridge,24635443,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.03125,0.18181818181818182,0.11453744588744588,0.0486277358205071,0.0013966480446927375,0.02190923317683881,0.009327669909256618,0.0072738775755191295,0.0026737967914438505,0.03664921465968587,0.01658888983108977,0.01202913557927499,0.6311933192952849,0.7265841082865535,0.6725910901028757,0.0348357015855782,0.09928592950093859,0.13856100399271015,0.1212009772457368,0.01585621091521708,0.9189774696707106,0.9311229946524064,0.9224292042790033,0.0045097632440063515,9220.0,9350.0,4.879221170728084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.1,xgb,5569274,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5938086303939962,0.6698841698841699,0.6347851695911959,0.030763861815302485,1.0,1.0,1.0,0.0,0.7451442024720424,0.8023121387283236,0.776162665537072,0.02311673878035959,0.9978163396323471,0.9990673552537382,0.9986293329981489,0.0004253636092681211,0.9462627079915561,0.9717564576610611,0.961844572731873,0.009368877326049886,0.9536898395721926,0.9629549393414212,0.958006849514056,0.003770339748730114,9181.0,9320.0,,,,,,,,,,,,,,,,,,,,0,0.7,aucpr,1,11,binary:logistic,77,4468,,,,,,,
smote,minmax,0.8,rf,25570997,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.6621490803484995,0.727803738317757,0.6977596392714337,0.02520037427042938,0.984149855907781,0.9874804381846636,0.9852120310778341,0.0012464252825668861,0.7921250723798494,0.8368032236400269,0.8166719743641521,0.017143979426345858,0.9980495328410605,0.9987950742050179,0.9983729660527564,0.0002506679897696935,0.9840545370092587,0.9885922891441313,0.9864796322980004,0.001452782940217532,0.9611135181975736,0.9740106951871658,0.9675920869682073,0.00449726969013817,5333.0,6164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,entropy,406,6,7,39
random_under_bootstrap,standard,1.0,rf,32630547,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.18923076923076923,0.2923076923076923,0.2341499297194584,0.035570359894264984,0.9495677233429395,0.9715639810426541,0.9601893775526392,0.007089312050184688,0.3167653875869173,0.4479622768608959,0.375048890363486,0.04515697796554894,0.9176690863454998,0.9350793502922686,0.9247331921944554,0.006533979608396438,0.42335326586262434,0.4795135393643672,0.4452102663994049,0.021516701151375456,0.7162566844919787,0.8224653379549394,0.7627713266204285,0.03681754725554734,9216.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,balanced,gini,176,3,7,327
random_under_bootstrap,standard,0.1,sgd,11201599,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0897029702970297,0.10652992884051904,0.10087263064624179,0.0058944436785494285,0.676056338028169,0.7156398104265402,0.7046678565484434,0.01469879715241045,0.15942284004926974,0.18529304696032034,0.1763858356039517,0.008918671766498815,0.621234568975188,0.6750069041701188,0.6420378242862925,0.018478110644907637,0.0963937876033043,0.11983385014529555,0.1089931276293288,0.010208268161414995,0.4890909090909091,0.5775151777970512,0.5189919726053687,0.03064615326832056,9220.0,9350.0,,1.8564068327058638,False,0.8765656972617645,adaptive,squared_loss,l1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.8,xgb,15240930,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9217.0,9345.0,,,,,,,,,,,,,,,,,,,,1,0.3,aucpr,1.5,32,binary:logistic,20,8591,,,,,,,
