uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
random_under,standard,0.3,svm,25889675,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.315789474,0.395348837,0.363031858,0.026173908,0.004739336,0.027377522,0.015502397,0.008914803,0.009360374,0.050938338,0.029392793,0.016391306,0.665028713,0.732773065,0.703146855,0.026138595,0.127899979,0.190527808,0.1632454,0.023634563,0.921871623,0.932085561,0.926218627,0.004070141,9220,9350,1.99,poly,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
smote,minmax,0.1,svm,6710813,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0,0,0,0,0,0,0,0,0,0,0,0,0.687415674,0.756451409,0.723593819,0.025676327,0.169413853,0.234814412,0.203911829,0.023556157,0.922628053,0.932299465,0.927041451,0.003766715,9211,9343,1.55,rbf,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,nb,3334846,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.095826893,0.151295626,0.120033965,0.0182345,0.780907668,0.896253602,0.845594023,0.052413436,0.172862454,0.253560588,0.209282816,0.026305648,0.699975407,0.78293346,0.74174768,0.028485831,0.113104279,0.203978636,0.158709626,0.029542263,0.428877005,0.653704506,0.52316843,0.089007176,9181,9337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,sgd,9059206,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.034165339,0.144341801,0.08163626,0.039715671,0.278097983,0.646974063,0.435179999,0.123045286,0.060854485,0.210881485,0.133974912,0.05622648,0.28743288,0.703137091,0.500809175,0.157785587,0.04829731,0.12057912,0.077189812,0.02618597,0.353904555,0.797159584,0.530988577,0.160729149,9220,9350,,,,,,,,,,,,,,,,,,,,,,0,TRUE,0.62535205,optimal,squared_epsilon_insensitive,l1,,,,,,,,
random_over,minmax,0.8,svm,7069006,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.078433523,0.333333333,0.182948126,0.090985734,0.010086455,0.998603352,0.427781724,0.459286395,0.01958042,0.180870959,0.106167995,0.071077413,0.746609239,0.819040897,0.780706183,0.026725917,0.155478075,0.241937591,0.203220825,0.030618427,0.092068295,0.928664354,0.63611616,0.353636169,9220,9350,0.95,poly,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,minmax,0.3,nb,25603108,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.142857143,0.232057416,0.186091127,0.029185418,0.028436019,0.478386167,0.289174317,0.166363348,0.04743083,0.298767967,0.205678883,0.088156814,0.700560235,0.781112646,0.741088325,0.027868125,0.113247909,0.200886742,0.157710014,0.028942059,0.803904555,0.922673797,0.858597867,0.044421518,9187,9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.3,sgd,26738291,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.054054054,0.179487179,0.119540965,0.045691666,0.002793296,0.021909233,0.013092984,0.007890761,0.005312085,0.038199181,0.023417287,0.013747497,0.635240359,0.68749152,0.660743577,0.01965891,0.099103614,0.131573949,0.115189965,0.011205408,0.918327556,0.928983957,0.92184967,0.00401251,9220,9350,,,,,,,,,,,,,,,,,,,,,,0.736732297,TRUE,0.633029931,adaptive,log,elasticnet,,,,,,,,
adasyn,standard,1,svm,15905071,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.111837145,0.158356941,0.133777958,0.016378356,0.70300158,0.805475504,0.743705616,0.034334791,0.192974848,0.26467803,0.226580836,0.025074225,0.704821125,0.778645121,0.738568695,0.028000512,0.121789166,0.168287024,0.145854302,0.019006437,0.601925134,0.663561525,0.627566487,0.024720309,9220,9350,0.25,linear,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,xgb,12716303,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.16234932,0.233591383,0.19416332,0.024587256,1,1,1,0,0.279346867,0.378717599,0.324481682,0.034272379,0.96230498,0.966919715,0.964237026,0.001559706,0.483927247,0.547896053,0.509078676,0.022889116,0.650695187,0.753357886,0.693161638,0.035639335,9078,9258,,,,,,0,0.7,aucpr,1.5,57,binary:logistic,39,34786,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.3,sgd,11229360,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0,0.09315185,0.052002512,0.03015775,0,0.631123919,0.345304794,0.202931183,0,0.162342476,0.090386202,0.052504532,0.397325703,0.632582214,0.49153089,0.104876114,0.051091843,0.102225613,0.074107615,0.022143045,0.483034364,0.930615785,0.587063812,0.172192866,9220,9350,,,,,,,,,,,,,,,,,,,,,,1.659866475,TRUE,0.477045518,adaptive,squared_epsilon_insensitive,l2,,,,,,,,
