uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
random_over,standard,0.7,ridge,21233319,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10306058713304185,0.13819095477386933,0.12248899534544225,0.013384096145689316,0.21927374301675978,0.3170028818443804,0.2823557398151255,0.03724476231005678,0.14771709937332142,0.19247594050743658,0.1706082742333645,0.0192241022250339,0.6402500896633676,0.6742638268112111,0.6590183033863448,0.014725734327230715,0.10023359831323338,0.12664998000979577,0.11417502451063463,0.009828845303381952,0.7963636363636364,0.8051653339096607,0.8005918459182301,0.0031910639028055903,9220.0,9350.0,,,,,,4.123967636357378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,ridge,25703275,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.06818181818181818,0.21254355400696864,0.15371154640972132,0.04776318855869273,0.02094972067039106,0.12206572769953052,0.07135135851865154,0.0336497009118144,0.032051282051282055,0.1449814126394052,0.09596731992731639,0.038824703057357544,0.6283777355029421,0.7204285962979065,0.6719173909894625,0.03628441180579813,0.0994510496683596,0.1432085880217433,0.12106272719067723,0.016515583504307894,0.9002601908065915,0.911336898395722,0.9053008771428708,0.003876930411561349,9220.0,9350.0,,,,,,0.22366976583635512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.1,lr,30270022,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11105047748976808,0.16118935837245696,0.13304780481181014,0.01671968306590883,0.6429699842022117,0.7420749279538905,0.6855907643302163,0.03246538743087593,0.1893904141461145,0.2648495757264078,0.2226641557787424,0.025098754718846577,0.6808747551203885,0.7726161327930129,0.7216062202157979,0.03258955228908288,0.1188447873675498,0.1756102875435961,0.1414305511201174,0.02098903757223464,0.6100064836827318,0.6903162911611785,0.6485201176505544,0.027740400877534793,9220.0,9350.0,balanced,,20000,l2,lbfgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,sgd,32872883,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.04701975179164482,0.09419810280167659,0.06508863598069893,0.01710638517006701,0.3474178403755869,0.6152737752161384,0.4344701952866088,0.09390818335755798,0.08467107333962859,0.1633824373445571,0.11285862587945199,0.028569765963586537,0.3802270481260764,0.606969628753817,0.455603452508182,0.08127865221291933,0.04931205569567125,0.09819326934762199,0.066263241324263,0.017761916085393487,0.3779679144385027,0.5798573589799005,0.49376231520648856,0.06754423323249993,9220.0,9350.0,,,,,,,1.4148213068204818,True,0.7749437109915643,invscaling,squared_epsilon_insensitive,l2,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,nb,14903871,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09649122807017543,0.21179941002949854,0.16380676943936978,0.037663145372950554,0.06951026856240126,0.5706051873198847,0.4014024451818419,0.17878176847813176,0.08080808080808081,0.3005441607367099,0.22574793753444738,0.07632240780235917,0.7026402078631556,0.7820783235212911,0.7425855612615495,0.027580506322539982,0.11428919530925667,0.20243427575066358,0.1591618292298634,0.029087176247735456,0.768100280959585,0.8929411764705882,0.8163264709403603,0.04584280071273621,9183.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.5,sgd,32046934,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.1098392596200682,0.14551083591331268,0.12783718500553878,0.012136944745019222,0.7124802527646129,0.8126801152737753,0.7530988977489577,0.03417457332690836,0.1903355138214813,0.24682713347921223,0.21845775308302745,0.018961389328272165,0.7039041034197854,0.7816677163897897,0.7374170098046113,0.028251952169074907,0.12270127905514625,0.1763662045537265,0.14838764801198537,0.021184720775433468,0.5896256684491978,0.6271663778162911,0.6061822389774856,0.013484556017806744,9220.0,9350.0,,,,,,,1.6531397352955455,False,0.5347627472710791,invscaling,hinge,l2,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.3,nb,29532256,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11532663316582914,0.1548329355608592,0.13141219272820837,0.013353709485015975,0.7230046948356808,0.8226256983240223,0.7656771528360189,0.0423650034816311,0.19900281812269674,0.25654967869500744,0.22396847825738248,0.019322419822677638,0.69750796549605,0.7794315698659934,0.7389910163119741,0.028257902743124157,0.11132185122521512,0.19888191230182034,0.15546928880728755,0.028890570513323742,0.5364166846768965,0.6741767764298093,0.6100106594985955,0.04599528288064281,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,xgb,4619318,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.6525773195876289,0.7060020345879959,0.6773701984914238,0.017681878547633333,1.0,1.0,1.0,0.0,0.7897691827822833,0.8276684555754323,0.8075252593539182,0.012532923047379713,0.9999754945205749,0.9999985501628258,0.9999894662816141,9.929263708288912e-06,0.9996918015995899,0.9999800539299839,0.9998615449575654,0.00013167984498500723,0.9631715771230502,0.9686550976138829,0.9652813790970768,0.0019534784841118377,9219.0,9345.0,,,,,,,,,,,,,1,0.3,error,1,8,binary:logistic,91,36096,,,,,,,,,,,,,,
smote,minmax,0.8,ridge,16521732,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09943181818181818,0.12448304383788254,0.11524468931593743,0.009450184452791712,0.36033519553072624,0.4397496087636933,0.41177770859051277,0.032284702317407245,0.15821762996448174,0.19344473007712082,0.17998644668824593,0.014121532808368382,0.6411015065439307,0.6749697740496292,0.6593810454732464,0.014439412284164144,0.1005233156787409,0.12632070721492344,0.11380281484168109,0.009624546367568845,0.7211764705882353,0.7335212489158717,0.7266358219866531,0.004092904205177447,9220.0,9350.0,,,,,,2.270309224655174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,1.0,xgb,28203462,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.21177651388424223,0.2974710672953279,0.2535527971217687,0.03003890526991921,1.0,1.0,1.0,0.0,0.34953064605190504,0.4585398083911464,0.40362054178817874,0.038156382507429296,0.9866546539116492,0.9928575583908329,0.989271693440039,0.002484812679560445,0.8449156255003105,0.8943477196908749,0.8639821683019029,0.017554887880294013,0.7480213903743316,0.8224653379549394,0.7822170156748536,0.028972097292917512,9217.0,9347.0,,,,,,,,,,,,,0.5,0.1,aucpr,3,8,binary:logistic,8,28126,,,,,,,,,,,,,,
