uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_degree,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
,standard,0.1,rf,7778683,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.6692381870781099,0.788293897882939,0.7318113231216556,0.04735434196748069,1.0,1.0,1.0,0.0,0.8018486424032351,0.8816155988857939,0.8442710628718935,0.031773766224048,0.9998211082780963,0.9999668235257659,0.9999097751798824,6.425385798679958e-05,0.9975491689838243,0.9995586806312495,0.9987763424869115,0.0008647096159976607,0.9628466204506065,0.9818181818181818,0.9726827860837106,0.007324167168579871,5289.0,6088.0,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,185,5,4,130,,,
random_under,standard,0.8,nb,15333388,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10136270300541347,0.1358933088066222,0.11874713753342345,0.0112484961247676,0.8482003129890454,0.8703170028818443,0.8556961789422518,0.007971982125810323,0.18130217028380635,0.2343842950624628,0.20834831826113356,0.01734645721766752,0.696299435596511,0.7753638927648763,0.7408850282469769,0.028762177688254748,0.11446070385626272,0.1897627814731664,0.15855894273772597,0.02756975237892119,0.47550802139037435,0.5817807625649913,0.5233600776964542,0.035068922827140976,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.1,sgd,8301721,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38270069794774064,0.689430567019613,0.502071401316121,0.10668600490988432,0.05519516345194983,0.11570810791402922,0.07227796668791306,0.022027791949295817,0.9181127982646421,0.9319786096256685,0.9254155613894192,0.0049287557262755605,9220.0,9350.0,,,,,,0.0,False,0.42764895362037114,optimal,squared_loss,l1,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.3,svm,20624347,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.3875,0.27947333735030505,0.14307302363553026,0.0,0.0446685878962536,0.02294917355344521,0.017242578964403177,0.0,0.08010335917312662,0.041854188674669134,0.030769561781785987,0.6657311592299988,0.7603279591559821,0.7113730218974134,0.039388230677483566,0.11534995043678249,0.20702998149523794,0.16761422171983625,0.0332488461090492,0.9226280527339529,0.9315508021390374,0.9257861329375127,0.00358650792616857,9220.0,9350.0,1.43,poly,25000,False,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
random_over,minmax,1.0,ridge,31872541,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0965686274509804,0.1198501872659176,0.11099813967357156,0.007877436440657996,0.6224328593996841,0.6512968299711815,0.6386807281361639,0.009931843180714309,0.16719711436452367,0.20216606498194947,0.18904742921600878,0.011904500489235576,0.6435316148775767,0.6810255963676205,0.6638498648642914,0.01582405035893271,0.10058153700000305,0.12890544875542487,0.11535304953884433,0.010399725278287452,0.5802139037433155,0.6210971379011275,0.599651854023798,0.01737171516271591,9220.0,9350.0,,,,,4.024825614211843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,1.0,knn,8776783,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.16465540359345668,0.2091020910209102,0.18633235401017273,0.01615534755608378,0.9567039106145251,0.9798270893371758,0.9710830912144743,0.007865397789123034,0.2815222375057313,0.34465281297516476,0.31237231958709044,0.02292245776774048,0.9223283421732091,0.9433952838741602,0.9330636433147337,0.0068043460394060055,0.5620064348721041,0.6554341777798929,0.6064425378458983,0.03151881086903769,0.6648128342245989,0.7198873483535528,0.6871652891061887,0.020333034146193092,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,23,uniform
random_under_bootstrap,minmax,0.8,sgd,20117780,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09427347097779509,0.17374517374517376,0.13667927283871864,0.026611640990263596,0.382306477093207,0.7132564841498559,0.5846170742484167,0.11226200069882436,0.15125,0.27942421676545304,0.22131251127932866,0.04233774846206739,0.6296017605372807,0.7723293997406407,0.7082048254306044,0.050246898828447996,0.09932236434000033,0.1724918789228725,0.1358977670881127,0.025637937516445344,0.6485843959368921,0.7234618717504333,0.6998969888158427,0.027798372982868014,9220.0,9350.0,,,,,,1.087475454345706,True,0.08350427660365478,adaptive,hinge,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.3,xgb,15247346,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9216.0,9347.0,,,,,,,,,,,,,,,,,0.5,0.3,aucpr,0.5,33,binary:logistic,2,425,,,,,,,,,,,
random_under_bootstrap,minmax,0.7,rf,15263855,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.2,0.29534883720930233,0.24616864688623505,0.032584911484987045,0.9121037463976945,0.9415481832543444,0.9267601755961558,0.011676225120753567,0.32991973429283145,0.44655414908579466,0.3876871210938392,0.03973006530755833,0.9149453021741577,0.9342405843886256,0.921488613646089,0.007403707400491049,0.4068079443356245,0.5083589654244489,0.4430758844898065,0.038751076216355075,0.7410695187165776,0.8295060658578857,0.7838499957048422,0.030385666091596802,9217.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,balanced_subsample,entropy,453,5,7,281,,,
random_under,standard,0.7,sgd,5633671,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09472849782005549,0.1384083044982699,0.11592810160366204,0.017303030457284374,0.3129890453834116,0.9287709497206704,0.5838168956067641,0.2362441912529263,0.16833949639020954,0.20242301867743565,0.18470389755972266,0.012058549333306991,0.6467526093897618,0.6915182156160936,0.6675632260472921,0.014284322471593756,0.09563336871173976,0.12397975417484629,0.11597335988019626,0.010508526430186115,0.32299546142208774,0.8174327840416306,0.6131049943513318,0.1829747603366066,9220.0,9350.0,,,,,,1.6198232660364362,True,0.004702166036310573,constant,modified_huber,l2,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.5,sgd,10964146,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08966626457579413,0.10688328345446772,0.10185280600091984,0.00659608477571592,0.7045813586097947,0.739193083573487,0.721514805763366,0.011016906899749131,0.15908685571606918,0.18647764449291165,0.17845119129733633,0.01046491312244152,0.6254055692957833,0.6687429920011773,0.6522044718503014,0.01816252522886809,0.09684283954133342,0.1274552773517565,0.11381142319366436,0.011172601928693036,0.49572192513368984,0.5319817866435386,0.5150085530097124,0.01315494461660858,9220.0,9350.0,,,,,,0.5370878093559392,False,0.5233734413733946,adaptive,squared_loss,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.3,nb,26283051,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11326703856415232,0.15262090935418476,0.1290094762680259,0.013536571365403857,0.7377567140600316,0.8112391930835735,0.7723870094539061,0.03146025962047213,0.19638351555929354,0.25415963346997833,0.2208028571309751,0.019909128865094185,0.6949149317099506,0.7800704327086974,0.7379489783753288,0.029627619320434073,0.11031002332244844,0.20146464140725173,0.15652756788399547,0.030255285830963864,0.5459260860168575,0.6649696707105719,0.5997868453798263,0.0383488991728967,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,1.0,sgd,24446789,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.05319367426576299,0.10543510543510544,0.07155011462772523,0.01780707599733584,0.405320813771518,0.8230647709320695,0.5373503576471719,0.14766783325145855,0.09404502541757444,0.17483378478207337,0.12498546426191415,0.02720526132204683,0.40142947987063093,0.6338976015726772,0.4791086841728808,0.08777748243779476,0.05335729105164507,0.10676613362689466,0.07034667549095316,0.019386067974166567,0.24106951871657753,0.6365509761388286,0.442754172520211,0.12685756098858197,9220.0,9350.0,,,,,,0.4906509695070842,True,0.8920272614127025,invscaling,squared_epsilon_insensitive,l1,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.8,xgb,30397876,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.17612687813021702,0.24496999647017295,0.20578653505705408,0.02682708473850368,1.0,1.0,1.0,0.0,0.29950319375443574,0.39353558264814287,0.3405155467180786,0.036683001983201576,0.9598114409618262,0.9669578255628994,0.9635803383130911,0.0024599704105672166,0.47374130489127847,0.5434487494133055,0.5107352149521749,0.022838430493659377,0.6833155080213904,0.7683058925476604,0.7142690963523608,0.03560160221900536,9168.0,9303.0,,,,,,,,,,,,,,,,,0.5,0.7,aucpr,0.5,51,binary:logistic,29,56693,,,,,,,,,,,
