metric,measure,k_fold_i,"smcdc__fft_coefficient__attr_""imag""__coeff_73","smcac__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","smcdc__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","smcdc__fft_coefficient__attr_""abs""__coeff_45","vib_spindle__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","smcac__matrix_profile__feature_""75""__threshold_0.98","smcdc__fft_coefficient__attr_""angle""__coeff_81","smcdc__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","smcac__fft_coefficient__attr_""abs""__coeff_51","vib_table__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min"""
f1,mean,1,0.005829585165291473,0.343885738360726,0.11501239456475115,0.18858968554833033,0.5268631635263139,0.13168452205844752,0.008376077902067614,0.11391115644211765,0.34420932466928184,0.45732656473570427
f1,std,1,0.004480980548333643,0.04921297535143689,0.02060952059424757,0.026421522896685107,0.027609520916611705,0.03103084291938332,0.005387476420354532,0.026506890722507462,0.04651119418299128,0.03992909050646001
average_precision,mean,1,0.0071249899135295116,0.22538879457901545,0.06601769066896704,0.1513791630427321,0.6021245184567969,0.10465752048183988,0.005347062039496261,0.0447886377815298,0.2882789702873068,0.5398733022943334
average_precision,std,1,0.001374421266059836,0.03306860400943796,0.0081192344115075,0.020726038097846476,0.03537994254633216,0.026517346143323243,0.0013009519938962332,0.01298045707446775,0.040639703969385314,0.040716796344611214
balanced_accuracy,mean,1,0.005394477056780741,0.24606756923510856,0.08890629682514503,0.16798482204241372,0.29947732120507,0.11696921219172536,0.0071143370881591094,0.12367567472279521,0.22429641088018054,0.24407579283233735
balanced_accuracy,std,1,0.003888945489157707,0.026244466220675746,0.01673935150268899,0.017283305809580506,0.015214618766234766,0.020832418080647404,0.004973146005045461,0.018884004364025063,0.026265088268577774,0.02478586797722352
accuracy,mean,2,0.0001468428781204012,0.06469477658904968,0.004919236417033746,0.07714495489825882,0.04107405076568069,0.03478078456052021,1.0488777008577089e-05,0.098237885462555,0.0649045521292217,0.07996643591357243
accuracy,std,2,0.000240099079971884,0.0014109646923264165,0.0013036921154975245,0.001623051398106414,0.002297592879394684,0.002243813935174416,0.0004181063861547172,0.001989110211363007,0.0029872950255092233,0.0027089487656568817
f1,mean,2,0.00046902572435224185,0.25765172269241465,0.01587623254722707,0.32188634225402546,0.14952315777778835,0.12304966102798666,6.715793206725218e-05,0.44997672140122624,0.25290380974425797,0.3308092226646593
f1,std,2,0.0007547590102729985,0.007008784108481794,0.00422564121612659,0.009111541930877765,0.00958727240791884,0.008721769500383817,0.001303501818792666,0.012782060506310066,0.014258944622485552,0.014639292557327198
average_precision,mean,2,1.9590305006259948e-05,0.002686660964038227,0.00039618448659749504,0.0048134835553750345,0.02231918370048458,0.008671619028383322,2.1471745703897464e-05,0.014141362393881833,0.03188277002492183,0.07308991309358705
average_precision,std,2,1.9261311975028473e-05,0.0012419542577184475,0.00016491484752370882,0.0007884129795896586,0.0028960628941973395,0.001449250085066498,2.5000421650187863e-05,0.0026239979363376444,0.003786162739801497,0.005419750759028079
balanced_accuracy,mean,2,0.0006109708930720492,0.20274776235379344,0.016751503448974255,0.2402161402647784,0.1291499914311198,0.10767971278671665,0.0010268537019509582,0.3061040612597032,0.19635676532563684,0.24297200897395443
balanced_accuracy,std,2,0.000712037104408723,0.00433752826756739,0.0037101051620479567,0.0051586555192302715,0.007132189639487143,0.006600509763752412,0.0009021585263306229,0.005899092652009452,0.008951198097169473,0.008277575074962866
accuracy,mean,3,-0.0006598894239343049,0.06336721954699485,0.002354200107009123,0.0338148742643125,0.018673087212413085,0.021580167647583397,-0.0022115213126448928,0.026805778491171772,0.018887105403959378,0.01863741751382204
accuracy,std,3,0.0002989665527776053,0.0020936776176143142,0.0016840480305493732,0.001970246403373147,0.001905993914452314,0.002472555994381793,0.0007275219566388848,0.002250373552146934,0.002927795716801259,0.003135334042095449
f1,mean,3,-0.003961346334227763,0.6946673985848154,0.01937810433359231,0.31342453069033094,0.15070317655142787,0.16178272485029352,-0.013156911353209799,0.2298783233928767,0.140114933221953,0.11250049647896475
