metric,measure,k_fold_i,"ae_table__fft_coefficient__attr_""abs""__coeff_14","smcac__fft_coefficient__attr_""abs""__coeff_56",smcac__approximate_entropy__m_2__r_0.3,smcac__count_below__t_0,vib_table__partial_autocorrelation__lag_7,vib_table__energy_ratio_by_chunks__num_segments_10__segment_focus_2,smcac__large_standard_deviation__r_0.25,"vib_spindle__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","ae_table__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",smcac__lempel_ziv_complexity__bins_10
average_precision,mean,4,-0.019198066138977996,0.04678972029505197,0.046342337847836416,0.3276984635099826,0.028861788969421,-5.749708024262631e-05,0.0008210078127998195,0.10114791715517171,0.0,-0.0043347217972162415
average_precision,std,4,0.0029225968118768196,0.0073292343375182326,0.012399610780892481,0.027546356318504644,0.003723535103944026,0.0004568684149386517,0.0015680364436724374,0.018250375231224535,0.0,0.0048269564145480585
balanced_accuracy,mean,4,-0.0015454585931444886,0.03651173121720097,0.04739409725384473,0.18406677473998645,0.003373901305177533,0.0005921770297646549,-0.00014804425744120812,0.07010229524254763,0.0,0.0020925038807226106
balanced_accuracy,std,4,0.002787456589233487,0.003840056635229351,0.010350468722395346,0.012302755513217854,0.0019789024123526705,0.00018829742829350692,0.00017579108886831455,0.01166280872188341,0.0,0.0012827446925376962
accuracy,mean,5,0.004888152444076191,-0.019552609776304915,-0.04650648991991166,-0.04327533830433584,-0.010770505385252715,0.0,-0.0038663352665009977,-0.028610880972107178,0.0,0.007456503728251836
accuracy,std,5,0.0031464841627113615,0.0035383855019159153,0.007058425907163671,0.006508461236583706,0.0036865941112322964,0.0,0.0015025098601199383,0.00837218241214975,0.0,0.0038505219680604035
f1,mean,5,0.0025995368366897383,-0.011150468793702514,-0.005318409947265056,0.002660322866244772,-0.006011370043826248,0.0,-0.0021158968977197812,-0.01189978466991536,0.0,0.003940744662149136
f1,std,5,0.0016639239774188534,0.0021265311407200537,0.008368598231467027,0.009239127537784603,0.0021130108788945863,0.0,0.0008299209724121458,0.0063488990419962536,0.0,0.0020068553531340113
average_precision,mean,5,0.0008249560486535024,0.18599025955834325,0.6108240599715304,0.5445177402287354,0.21936866916218553,0.0,0.0006805398849261568,0.6350251911760317,0.0,-0.031099322859151846
average_precision,std,5,0.007139164242256527,0.05154170510339113,0.045519666735321,0.05678900678665895,0.03023823746963533,0.0,0.0030802817074278323,0.02739534189965876,0.0,0.012303003111937516
balanced_accuracy,mean,5,0.002551903114186882,-0.010207612456747362,0.03444828911956944,0.05050461361014998,-0.005622837370242154,0.0,-0.0020184544405997375,-0.001816608996539737,0.0,0.003892733564013884
balanced_accuracy,std,5,0.001642649820239024,0.0018472453723237584,0.016711900501066093,0.019710165023866442,0.0019246189845403751,0.0,0.0007843985299155474,0.009973389441151899,0.0,0.0020101989686197763
accuracy,mean,6,0.0033041255932821883,0.0036509675063891617,0.0032493610806863566,-0.0026286966046002486,0.00901788974078129,-0.0014056224899598642,-0.002245345016429386,-0.016465863453815295,0.0,0.02035414384811973
accuracy,std,6,0.0027834287633320496,0.002342032338805364,0.005121645094068847,0.005203877561912181,0.0029346603087416693,0.0009129244067214293,0.0009626722799149333,0.002848924596553392,0.0,0.0032494123579153117
f1,mean,6,0.009777785469579385,0.05558018358653231,0.12931386780679383,0.10468967179113291,0.028111225326081426,-0.004289384602945038,-0.0067233880395510814,-0.02372075616857939,0.0,0.05557555010752074
f1,std,6,0.008151395229485736,0.00870886022738252,0.028266853058560013,0.030570224528596614,0.009262824548447486,0.0027983385317063396,0.0030470739192990904,0.015000979040126022,0.0,0.008041545133014718
average_precision,mean,6,0.054479273911927965,0.26493009438507864,0.5171311607107018,0.46153589685151625,0.07003615665255922,0.0008426088568810775,0.004128019392138019,0.20983022663861728,0.0,0.01750711924905734
average_precision,std,6,0.01104367964708744,0.03048379614876694,0.04264720053367817,0.04226164717678303,0.014554612363781473,0.0012643085978901322,0.004139770110838625,0.02502330893622511,0.0,0.009307490781104771
balanced_accuracy,mean,6,0.001901418750914204,0.07998811613280683,0.18128437180049736,0.170639534883721,0.008918019599239494,-0.0007461240310076962,-0.0008967749012724124,0.04909646043586372,0.0,0.010804263565891533
balanced_accuracy,std,6,0.0016767210404995169,0.0054365878195481035,0.019935812697556565,0.02151961089462938,0.0047740656066720425,0.00048459301356779284,0.0012236559456923065,0.012128933358346037,0.0,0.0017248334202189881
