metric,measure,k_fold_i,"vib_table__fft_coefficient__attr_""real""__coeff_98","smcac__fft_coefficient__attr_""angle""__coeff_66","ae_spindle__fft_coefficient__attr_""real""__coeff_39","vib_spindle__fft_coefficient__attr_""abs""__coeff_32","vib_table__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","smcdc__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","vib_table__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","vib_table__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","ae_table__fft_coefficient__attr_""angle""__coeff_66","ae_spindle__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4"
average_precision,std,3,0.009609370863956822,0.016119992078337097,0.0050678044479824476,0.005962806633604701,0.011004731162550414,0.010341360063016723,0.009486612195628267,0.01124470555738017,0.01948466434758428,0.010635131210885013
balanced_accuracy,mean,3,0.15556253173590248,0.24131671401320223,0.06530436731762444,0.09830850499311537,0.1593340149404624,0.1550874652906438,0.17041785033005344,0.1915645971427396,0.2452804996317492,0.11795154185022036
balanced_accuracy,std,3,0.007849173196091555,0.009011802734641755,0.005154909926130119,0.006070889232032841,0.010058275854987284,0.009136625598904092,0.010589503558770324,0.009035294409788007,0.009538914034278832,0.007212808085242967
accuracy,mean,4,0.0237825265300189,0.04086349760139554,0.006410815525512429,0.014580607646460238,0.025381596162232886,0.014813199592964095,0.026602703881378108,0.018563744730338696,0.0341619421427533,0.06422445122837622
accuracy,std,4,0.003292044038970417,0.00636496385070229,0.003151176955865703,0.0030270830429841014,0.002958698469709805,0.004380655863800872,0.0034761360532924107,0.004759640034734577,0.00539829760942786,0.004286220583731904
f1,mean,4,0.0774443460885307,0.1359535330339877,0.02604020951745237,0.047954392001617864,0.07778473256014129,0.07271781502998018,0.09081531084741583,0.06763684577840821,0.119922429580773,0.2764326889468533
f1,std,4,0.008346048346859364,0.01636726421744579,0.008217937336967598,0.00926548771518644,0.009230857997087675,0.01561219571542308,0.011330542011376817,0.013561001089127582,0.013830595229411607,0.01175346728361173
average_precision,mean,4,0.1672225553323712,0.25760448031773114,0.13454891908214783,0.13098990905506971,0.1674857585567773,0.1996770978125536,0.20732364053586838,0.18248429309021752,0.26262437118750953,0.7466550619402172
average_precision,std,4,0.013682704752691406,0.013800782172596547,0.010221564305934483,0.012939175966876498,0.012541616903583089,0.0194778334364082,0.01503159926752913,0.01581959128343195,0.019726918885549283,0.018611533110859817
balanced_accuracy,mean,4,0.04970684606028229,0.09813163694650374,0.021413746764377937,0.0295087723558972,0.045140545911934456,0.07071066303184119,0.0634713190814173,0.05012345454140689,0.08961838379790697,0.24663975964817478
