metric,measure,k_fold_i,vib_table__autocorrelation__lag_3,"ae_table__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","vib_table__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__fft_coefficient__attr_""abs""__coeff_61","smcdc__fft_coefficient__attr_""imag""__coeff_46",vib_table__partial_autocorrelation__lag_4,"ae_spindle__fft_coefficient__attr_""imag""__coeff_4","ae_spindle__fft_coefficient__attr_""imag""__coeff_1","ae_table__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",vib_spindle__number_peaks__n_1
f1,mean,1,0.22537966611766558,0.6423057919444743,0.03341220199113644,0.1496175020385443,0.007053290359962032,0.1046081635932035,0.012142354560574291,0.08414940921566788,0.3960002357570562,0.2521762646010638
f1,std,1,0.02834459065303129,0.02397261954129445,0.011936647618712182,0.018467497709794632,0.006630659635020947,0.013310157993354802,0.007747053916690707,0.014700184696351004,0.020866045734998628,0.01509717554330669
average_precision,mean,1,0.30221658800698115,0.7496806775020521,0.03301735070595813,0.17014503120510854,0.010437365020004755,0.07406700118394781,0.005337744566595803,0.0493147317125915,0.5681510817947828,0.2971821903038027
average_precision,std,1,0.03524403247182484,0.02326443005723543,0.018636842512230172,0.030590214592863388,0.003812326375415713,0.011148437851516165,0.0032815770165649833,0.009991307612755424,0.022052742025125367,0.030230485071192994
balanced_accuracy,mean,1,0.11032167832167836,0.3912595182595183,0.005857031857031876,0.037892773892773915,0.004486402486402497,0.0466713286713287,0.008285159285159327,0.029853923853923877,0.2046161616161616,0.10620512820512827
balanced_accuracy,std,1,0.01984220456624583,0.015376008851309273,0.0048950861483836,0.008516645084672623,0.0033360258485811856,0.006571854198690658,0.002363423968772665,0.007002756563726447,0.015159160683329294,0.010261767337271311
accuracy,mean,2,0.021234567901234604,0.13788359788359789,0.0062433862433862765,0.02970017636684306,0.007160493827160519,0.03978835978835982,0.0017989417989418297,0.020035273368606735,0.06645502645502649,0.013121693121693145
accuracy,std,2,0.004143082006356558,0.006787626376092815,0.004525588313300123,0.005685034107345552,0.00271421638140539,0.0054068447989727595,0.0013971994582249157,0.0028906950615235107,0.004262681154150493,0.0028604070451800027
f1,mean,2,0.12639434441693698,0.7107698967409374,0.05353953660805243,0.1941566953349531,0.06143796510560386,0.21208058992114942,0.012093369868836079,0.14797445248163502,0.7440306530932518,0.0844481931796985
f1,std,2,0.02183234651633054,0.034305520306060454,0.03560154405018364,0.028231623550041707,0.023256486331104817,0.02220446416012039,0.009513876250890995,0.02077396037953672,0.04769919967946695,0.017957221293397604
average_precision,mean,2,0.1725994522123469,0.836142161444007,0.05391487377939546,0.20632887250673568,0.05526411580346037,0.33141402226485367,-0.0037522526850111777,0.1253900290519179,0.804273941309095,0.026182890195856613
average_precision,std,2,0.04347573181419175,0.007935219142479554,0.02366734986205935,0.05025934443322111,0.025457951273828452,0.0405003648461367,0.004347757877051216,0.022072784468821296,0.019008212906974666,0.017935540861991877
balanced_accuracy,mean,2,0.014205939588797727,0.40756620695490314,0.03968821389288435,0.07252235101672451,0.04431494486279157,0.02876653411174101,0.0006571339932876693,0.07154370082071242,0.43953415404574553,0.013457850353949882
balanced_accuracy,std,2,0.010269982148336201,0.029728604438216382,0.023695062827829308,0.01165250414352194,0.018142904324438103,0.007751813042383804,0.0018212571928099203,0.01742252545695597,0.021221882724663965,0.008695587693282518
accuracy,mean,3,0.11449942462600692,0.22322593018795547,0.05067126965861142,0.024415036440352873,0.03277713847334096,0.11760644418872263,5.753739930953368e-05,0.010759493670886045,0.13519370924434213,0.05437284234752588
accuracy,std,3,0.005279663865111375,0.007464330358095495,0.003471158176414635,0.0032333197158994427,0.0036916219392022663,0.005785489692590479,0.0007769324549493185,0.0023543508871787253,0.005827080210752455,0.003991149488939775
f1,mean,3,0.2696994210378941,0.43902883689422406,0.12027819667926055,0.0516298232837124,0.07461856174269615,0.27479746389020365,0.00012625761687216815,0.023485928397724672,0.2569724965468632,0.12446737105710245
f1,std,3,0.01387920305619713,0.014344318093039132,0.00899142961823606,0.00703763307374763,0.009003945759654833,0.014187829152141136,0.0016705868200873528,0.005232230408898632,0.011772788150752297,0.00954769504516799
