metric,measure,k_fold_i,"smcdc__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","vib_spindle__fft_coefficient__attr_""angle""__coeff_64","smcac__fft_coefficient__attr_""real""__coeff_32",ae_table__autocorrelation__lag_1,"vib_spindle__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__fft_coefficient__attr_""abs""__coeff_28","smcdc__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","ae_spindle__fft_coefficient__attr_""abs""__coeff_53","ae_table__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","ae_table__fft_coefficient__attr_""abs""__coeff_50"
f1,mean,1,-0.05975980332306312,-0.0008370396818982199,0.0007431224260616764,-0.059300243648112864,0.18089076874723958,-0.0027285044215117644,-0.014552111979540306,0.018844741112277505,0.006753184682140234,-0.0048219005687119105
f1,std,1,0.007975801387644546,0.001716108979208082,0.0029924856220112424,0.005750503507423792,0.01991911122052198,0.0023953622059988454,0.004751010221464251,0.004248114437686049,0.0060175406742241765,0.0020618188089495757
average_precision,mean,1,0.053241215185082943,0.002952964426327616,0.04649455075379018,0.01754818966129383,0.7087529233428491,0.029640030843703567,0.013543893105625792,0.236760707929664,0.28211728465022307,0.046331068744351146
average_precision,std,1,0.01082730231790236,0.0009299025474341091,0.00701178906772208,0.007536662888938458,0.03608661545895155,0.004306752471261099,0.005026549109692872,0.030445297909836074,0.03250361520714377,0.006645877895125567
balanced_accuracy,mean,1,-0.011400932400932389,-0.0003030303030302754,0.0002797202797202969,-0.019075369075369046,0.2373613053613054,-0.0009867909867909677,-0.005048174048174037,0.00721833721833726,0.005347319347319375,-0.0017404817404817177
balanced_accuracy,std,1,0.0051940756131312535,0.0006259077660651397,0.0010989549158189366,0.0016240059763708483,0.02225847049889095,0.0008652663348766664,0.0017365334628975388,0.0017134408731719756,0.0037376884013651,0.0007364721436564245
accuracy,mean,2,-0.05107583774250442,-0.0009523809523809638,-0.0023280423280423344,-0.05008818342151676,-0.03379188712522046,-0.024514991181657855,0.022081128747795407,-0.008430335097001777,-0.005149911816578493,-0.0010229276895943663
accuracy,std,2,0.007140222040990484,0.004000223951626625,0.003819309399263251,0.004766475042429318,0.007780636714758229,0.002853656941118996,0.0060895361663665815,0.003639999720394426,0.004961397099828496,0.00248145077064714
f1,mean,2,-0.0585537593132913,-0.0013602644668962271,-0.0032241576812913953,-0.08163001076402239,-0.016113051405526296,-0.03605371116247643,0.02743224972441348,-0.011738703045572292,-0.007166714967050527,-0.0014087304720814412
f1,std,2,0.020890383816081656,0.005470874980269923,0.005234343718874017,0.009474560976994994,0.019462781681778275,0.004562770929397335,0.007066337035698573,0.005193612227817119,0.0068292611254276245,0.0033630414285052953
average_precision,mean,2,0.1474263597579482,0.008743432854674039,-0.01525644578450512,0.025600201954978384,0.22482877171568574,0.007816598007076129,0.01776625377633178,0.04394587321413714,0.4581703862498819,-0.0022911782489958695
average_precision,std,2,0.039864093937431684,0.0026973273670349482,0.005835829801942657,0.010660932116219409,0.045658395295775825,0.004311891246904401,0.010226601153653163,0.008185116024366059,0.03577369105797252,0.0025962065536272324
balanced_accuracy,mean,2,0.018199156725047218,-0.0005044843049327581,-0.0012331838565022625,-0.026532137518684617,0.045988803339255965,-0.012985799701046359,0.011696562032884886,-0.004465620328849044,-0.002727952167414072,-0.0005418535127055443
balanced_accuracy,std,2,0.019541574908648295,0.0021189527098022308,0.0020231207299909013,0.002524842441197139,0.019409687086871803,0.0015116063953797413,0.003225679191264808,0.0019281388653434618,0.002628094315772382,0.0013144456156174596
accuracy,mean,3,0.10642500958956648,0.006194859992328316,0.01355964710395086,-0.036440352896049154,0.012178749520521618,0.0025124664365170357,0.007997698504027585,0.008995013425393142,-0.0008055235903337676,-0.002186421173762994
accuracy,std,3,0.007534958821185684,0.002668657662031981,0.0027501164871745914,0.003535417118405683,0.00627849362062897,0.0012907143351278273,0.0031351283603740505,0.002383851290593295,0.0024074205269678925,0.002274486702013601
f1,mean,3,0.24042837618594295,0.004816924923199821,0.025072576934278577,-0.051660180628445615,0.04543125086630222,0.0021738006445659523,-0.0015379096534676544,0.021294226987387685,-0.006745085715191986,-0.0015879327845075323
