metric,measure,k_fold_i,"smcac__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","ae_table__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",ae_spindle__number_peaks__n_3,"smcac__fft_coefficient__attr_""abs""__coeff_20",vib_spindle__cid_ce__normalize_False,"smcdc__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",smcdc__lempel_ziv_complexity__bins_10,vib_spindle__autocorrelation__lag_8,"ae_spindle__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
f1,std,2,0.003454623911722066,0.000878215699109558,0.002890441366666233,0.0005158008367799059,0.0026896589974002485,0.0021143826351352002,0.0017534928865816034,0.002353891056364355,0.0023009572903578013,0.0032791952900707824
average_precision,mean,2,0.37685807083665807,-0.00024945471486350625,0.0031628033597729957,0.0,-0.0004746206185471354,0.015932066637004295,0.0024178549391466095,0.01356405713577855,0.0013233244760091577,0.7307352848439753
average_precision,std,2,0.04461404042980474,0.0002640260742441418,0.002433399258035181,0.0,0.0004882804465957698,0.011475230314404491,0.0019598170910930268,0.004941981004128611,0.0018742903051368034,0.03056567965198452
balanced_accuracy,mean,2,0.04497666187212679,-0.000448430493273555,0.006857249626307896,0.0015134529147981858,0.0027279521674140198,-7.473841554560545e-05,-0.0023729446935725207,0.04622571001494766,-0.007679372197309446,0.016479820627802663
balanced_accuracy,std,2,0.006026816479168891,0.0010068904024893607,0.003478599573753031,0.0005993652814777818,0.003140125434760186,0.002416317363277603,0.0019827701607981834,0.0037622460235136736,0.00248224101182561,0.0042359278621380905
accuracy,mean,3,0.044610663598005425,-0.005964710395090071,-0.02142309167625618,0.019485999232834728,0.01469121595703879,0.013329497506712754,0.0023014959723820913,0.047372458764863894,0.0075373993095512555,0.028423475258918342
accuracy,std,3,0.002524370292868873,0.0015964828363373115,0.002943918839370148,0.0028059274925779213,0.0030832507041209886,0.002964091431837686,0.00164762037552087,0.0028278654577010404,0.001629774977573215,0.0021405149870815
f1,mean,3,0.2697898210732568,-0.030833955301917505,-0.10724481347444585,0.10951476792848784,-0.017893582464225566,0.07358026253704804,0.012193953146525521,0.2683103726979547,0.04077746820313618,0.1645641450263062
f1,std,3,0.016493605528332882,0.008097836149650671,0.01363592152494663,0.01671925197634365,0.011844229921565804,0.01707799413543269,0.00891591480322374,0.017346381259654695,0.009027079025893461,0.013518900418505677
average_precision,mean,3,0.27818186541217205,-0.001350083697504756,0.008307661226602451,0.0030857341297294894,0.1431006852720974,0.04055828271713633,0.008474401637601619,0.22473648504007276,0.011835886474357623,-0.014243656695762486
average_precision,std,3,0.01572602647925498,0.0013456859187271231,0.0030783816701515235,0.003937224660057427,0.007133189356455975,0.006322561969113801,0.002678833733102368,0.014880671486376444,0.0018748723756349885,0.005059965116173635
