metric,measure,k_fold_i,vib_table__index_mass_quantile__q_0.9,"vib_spindle__fft_coefficient__attr_""angle""__coeff_23","smcdc__fft_coefficient__attr_""imag""__coeff_67","ae_table__fft_coefficient__attr_""real""__coeff_88","vib_table__fft_coefficient__attr_""abs""__coeff_69",smcac__large_standard_deviation__r_0.05,ae_table__ar_coefficient__coeff_6__k_10,"ae_table__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","vib_spindle__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",smcac__energy_ratio_by_chunks__num_segments_10__segment_focus_4
f1,mean,1,0.12739947696513934,0.03150646247433876,0.2921954355300782,0.010963967843380776,0.04719407068817326,0.0,0.29602249580900936,0.24515189099159831,0.1640895297696478,0.008044764332626657
f1,std,1,0.01393823978681038,0.007020096728899725,0.014814369298978176,0.005727055548042543,0.009097018532498868,0.0,0.020732298842168987,0.016530578361102565,0.010286755434733447,0.0034619356586436593
average_precision,mean,1,0.15588091540242424,0.006244457339708135,0.37095105163546727,0.013286297659069224,0.0560339769800852,0.0,0.5893730814690183,0.4645256955600193,0.16313437607150189,0.006751410915263992
average_precision,std,1,0.020521439175275078,0.004143609313487778,0.030618718732618067,0.002695863472513044,0.010545523837769395,0.0,0.026763157313851708,0.029866580295847205,0.015062380659663525,0.003408972982901416
balanced_accuracy,mean,1,0.07784304584304581,0.004662004662004633,0.1702074592074592,0.0015773115773115502,0.016284382284382247,0.0,0.22860450660450654,0.1668251748251748,0.05226495726495724,0.0011499611499611207
balanced_accuracy,std,1,0.011696352064661127,0.001083351984953128,0.013339522569021572,0.0008311003130517833,0.005897858472442212,0.0,0.017341495701516114,0.013657020726703153,0.00824184780752276,0.000499702725433215
accuracy,mean,2,0.0032451499118166176,0.001410934744268122,0.08285714285714291,0.005185185185185226,-0.003068783068783032,0.0,0.03167548500881838,0.0755202821869489,0.03679012345679015,0.004303350970017676
accuracy,std,2,0.0037156103230373805,0.0025239567999997626,0.0068260120308445095,0.002494453221620773,0.0028043991831112427,0.0,0.0064711011191357255,0.009307692259244823,0.007201384534956844,0.001417971868941238
f1,mean,2,0.014281322222997498,0.005609126647059604,0.2976287611646733,0.01840770380802462,-0.008035781786732577,0.0,0.18274078458782236,0.32385744438220004,0.13868468876816592,0.015413152901926862
f1,std,2,0.014358459593810375,0.00950115976341606,0.021962062014866005,0.00865934176535765,0.011260275835649763,0.0,0.03509404385246306,0.02771687222696229,0.02302653153639417,0.00498150477869526
average_precision,mean,2,0.12955698234732607,0.019048464181820057,0.6417892830768557,0.004933620953013525,0.058125196450400964,0.0,0.2804164978137934,0.673970218796386,0.28682878525802386,0.014688756680590942
average_precision,std,2,0.028119980146692647,0.0076698031206742226,0.04529182021978818,0.00443392190958995,0.01840386655998563,0.0,0.0552357135221706,0.04086397288960915,0.05852969461009956,0.0063928415421524365
balanced_accuracy,mean,2,0.007338818851002553,0.0019305073751303711,0.19355522181797666,0.002746636771300389,0.005768959584849187,0.0,0.15106325972304474,0.24024734185069233,0.0682918746650872,0.0022795216741404428
balanced_accuracy,std,2,0.006931131444583969,0.0034787756201963846,0.02489516336465526,0.0013213331246814065,0.0077387170932446845,0.0,0.032766888057386416,0.026206857280911346,0.017793071798093113,0.000751111780352828
accuracy,mean,3,0.020272343690065187,0.01171845032604523,0.11072113540467969,0.014729574223245083,0.01917913310318371,0.0,0.12734944380514,0.1838319907940161,0.06904487917146142,0.00427694668200996
accuracy,std,3,0.002484493654433587,0.0017608282615303704,0.005502138639063355,0.0017926078167315642,0.002965022024115904,0.0,0.007261778022983791,0.007832627404897586,0.006164830948666915,0.000911967274872936
f1,mean,3,0.03550209134247779,0.02078975542626314,0.2194071804837721,0.025434892905001748,0.03617458359090357,0.0,0.25825106619648086,0.3902753640175603,0.13820126075637498,0.0074491756718893815
f1,std,3,0.004449111463100371,0.0031736773927483145,0.010969457498747922,0.0031122428353284066,0.005552580158856944,0.0,0.015782257128901148,0.016482310668324257,0.013235916668890147,0.0015771857331810487
average_precision,mean,3,0.015007915911886324,0.006348815829673452,0.1405789892950833,0.007345788524830769,0.016976562585405967,0.0,0.21562133575322992,0.3361064261014418,0.08229275659794372,0.0008244750078149695
average_precision,std,3,0.002095961759968067,0.0010568857017751742,0.00882784992028252,0.0011116600252847474,0.001832925109407114,0.0,0.015362759952259527,0.014762803018163836,0.00752003098956368,0.00018086556134947482
