metric,measure,k_fold_i,"ae_table__fft_coefficient__attr_""abs""__coeff_69",vib_table__partial_autocorrelation__lag_7,ae_table__ar_coefficient__coeff_6__k_10,"vib_spindle__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","vib_spindle__fft_coefficient__attr_""abs""__coeff_66","ae_spindle__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","smcdc__fft_coefficient__attr_""angle""__coeff_57","vib_spindle__agg_autocorrelation__f_agg_""median""__maxlag_40","vib_table__fft_coefficient__attr_""real""__coeff_89","ae_spindle__fft_coefficient__attr_""imag""__coeff_90"
average_precision,std,3,0.0011938983086503432,0.007450182826932499,0.018520056211282762,0.0009150133633584474,0.0029177128227321856,0.00560008026642305,0.013409108629852678,0.006207563536878786,0.00016909297248388444,0.0008979489775045497
balanced_accuracy,mean,3,0.012870938376311107,0.16875751940750494,0.24311473872489142,0.01730687416800466,0.04419616104226417,0.0873704260273283,0.2591368520729548,0.12073194999107957,0.004514503593304619,0.011795806057611758
balanced_accuracy,std,3,0.0023327379418383973,0.007824341778292538,0.012102067509364801,0.003182903680573178,0.004506044880190281,0.005971008387200003,0.010239687212106165,0.007036306204557765,0.0009117494371822995,0.002879191182597827
accuracy,mean,4,0.016862916121529258,0.05346707370257301,0.06749527547608662,0.010364878616077893,0.018127634830643953,0.04192469835731935,0.052551242913214107,0.047797645006541614,0.00766099723797059,0.011920337258322412
accuracy,std,4,0.0021610799167493026,0.004344495213401584,0.004271032950616926,0.0017469212371859577,0.002248352264550272,0.003572790409925127,0.0024508962494675657,0.003911397701662227,0.0015093995409356986,0.002065072348548318
f1,mean,4,0.09280763152916796,0.31244570909111796,0.3722206156670749,0.06246558504709587,0.11344562795538021,0.22468793513272267,0.3846489794016652,0.2808285007525486,0.045193366947918534,0.06613931195411298
f1,std,4,0.011213310467426033,0.02080579464294708,0.02339280457576579,0.010677243274936708,0.014704229820809895,0.0171322427252395,0.018635937694057907,0.019913221204364832,0.00875873168747201,0.01069259112140369
average_precision,mean,4,0.030633236470988322,0.34495263765689876,0.4523908755849717,0.028007056358288655,0.09292029672526145,0.19928502252829272,0.3974516594365887,0.2526034836783347,0.02438668566347797,0.02506288916423047
average_precision,std,4,0.007879065425588,0.025788700466632914,0.030358036663663518,0.007816001818154217,0.015518847962391872,0.0322744464344296,0.0253827698370923,0.025855443555255927,0.003901201025498387,0.006350759482291687
balanced_accuracy,mean,4,0.014763189903442308,0.1575141820934247,0.18311126694717147,0.020017951504627467,0.05370616604838199,0.07961811057883983,0.2450028738598163,0.1386069166924706,0.009630111979340546,0.006389278479040002
balanced_accuracy,std,4,0.004602844659887092,0.013150056411251705,0.019114873803890618,0.00673718019064131,0.011126165293222811,0.011383900570840277,0.011799593370279011,0.014503034292563829,0.004010351563455121,0.0011068749170690241
accuracy,mean,5,0.0040044186688759755,0.03493510080088371,0.036095001380834,0.0022921844794255557,0.01665285832642915,0.02289422811378072,0.03551505109085887,-0.011681855840927938,-0.00044186688760011007,0.007290803645401811
