metric,measure,k_fold_i,"current__fft_coefficient__attr_""imag""__coeff_4__2",current__energy_ratio_by_chunks__num_segments_10__segment_focus_5__2,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""__4","current__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2__2","current__linear_trend__attr_""rvalue""__4",current__cid_ce__normalize_True__4,"current__linear_trend__attr_""stderr""__4","current__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""__3","current__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""__2","current__fft_coefficient__attr_""real""__coeff_4__4"
accuracy,std,4,0.007650206745204315,0.006517852442984882,0.006855786225786663,0.0019480260774394373,0.0038604182509663592,0.004760437196701139,0.0070444166741935625,0.006464724447385882,0.005570301862162071,0.007144795545990822
f1,mean,4,0.08691418884215059,0.060146786458557235,0.1162006525855636,0.002708463491526088,0.00269188446912547,0.2706461656858483,0.13635796444932652,0.16505342890107055,0.023036042960605876,0.1379367564887303
f1,std,4,0.061813847831520836,0.04838665633258772,0.07147749956358701,0.009283032879610485,0.02663954744828472,0.06811385526048776,0.07179564668503267,0.07057466062963326,0.04239265941042998,0.03035714951856856
average_precision,mean,4,0.1911829594555981,0.11265659131509688,0.1531367526619669,-0.00015427409018577606,0.12644460619965928,0.34202353906050403,0.17078113741472703,0.23963808792624228,0.06643421728599042,0.3201163490375291
average_precision,std,4,0.05143334853840011,0.048028711293320335,0.06059792793025017,0.008415274497361878,0.042394076004369466,0.04086617478147894,0.060292557089794155,0.05222331000938236,0.045184901459388346,0.04183871476796909
balanced_accuracy,mean,4,0.16110464036731317,0.1170987998176938,0.21662024611333366,0.0032258064516129,0.09551577454803262,0.31787022501308215,0.23117688762850053,0.23752806333451496,0.11185412130112593,0.16750476865684238
balanced_accuracy,std,4,0.047597496550732386,0.04153136582633789,0.04520969984098955,0.009636807523938263,0.020652589352170708,0.030857108803387875,0.04455985402764039,0.04700919208326483,0.03505871804819694,0.0233830994314169
accuracy,mean,5,3.3306690738754695e-17,-0.008011996572407849,-0.004241645244215901,0.0009425878320480215,-0.026435304198800302,-0.09353041988003427,-0.011525278491859437,-0.0033847472150813555,-0.01825192802056551,0.014181662382176548
accuracy,std,5,0.003183234896487853,0.0026484249289675413,0.0033706168663610895,0.001518427176235587,0.004782727048745847,0.008915549413009077,0.004780423600041646,0.003359706927183434,0.004137140601396168,0.005656338390549258
f1,mean,5,-6.440445020698219e-06,-0.0025694056549506786,-0.0013547775644783034,0.00029482288423406756,-0.005111746038849655,0.014643929058565253,-0.003582324824861379,-0.0010806031785533271,-0.005223085058451857,0.004322909672482941
f1,std,5,0.0010012408460397428,0.0008622656558043417,0.001080341276124427,0.0004763278201282895,0.004729252083658765,0.014154617347682518,0.0018101705812197486,0.0010701013517145114,0.0026526858071055184,0.0016963635277487453
average_precision,mean,5,0.06584805669399361,0.02336065926595971,0.0640311703859984,0.004051574310321859,0.08756086738436145,0.3438463361084392,0.12596296784604827,0.031620894301024306,0.0456709782931726,0.3515477174641814
average_precision,std,5,0.028736241865128204,0.021624253017529106,0.023635229250002648,0.007452195197709664,0.0327926383787926,0.05063586518148635,0.0343255511205393,0.018414526581633457,0.03121442592949893,0.03542718901181742
balanced_accuracy,mean,5,-3.700743415417188e-17,-0.00416666666666667,-0.0022058823529412168,0.000490196078431319,-0.0009491978609625917,0.09960932857991679,-0.005460487225193141,-0.00176024955436724,-0.006825609031491416,0.007375222816399263
balanced_accuracy,std,5,0.001655452372638742,0.001377322590064679,0.0017529010173990087,0.0007896633309567291,0.015081841262351531,0.036485050071614455,0.0038880320265681887,0.0017472272656073999,0.007843289877023832,0.002941598441074419
accuracy,mean,6,0.015406162464985987,0.016526610644257696,0.035350140056022404,-0.000784313725490196,0.0,0.03910364145658263,0.053445378151260506,0.04392156862745098,0.020952380952380948,-0.015406162464986002
accuracy,std,6,0.005839513205361742,0.0050435727446726236,0.00587808301741904,0.0012067596206463893,0.0,0.007325023699128812,0.0058123080557279235,0.008610700753766208,0.005380485021195729,0.005558653970467064
f1,mean,6,0.0027511512767056695,0.0027398233795213234,0.0057515762437190705,-0.000132875874222881,0.0,0.021837149299118803,0.008541412184044188,0.008714345248303244,0.0034582438288603876,0.04139261288343244
f1,std,6,0.0013811827122079642,0.0008243887777904857,0.000924217816908446,0.00020438563361429763,0.0,0.005022033186811627,0.0008817754156751031,0.002532230474935549,0.0008718808912845838,0.004192337319061321
average_precision,mean,6,0.010323052931611688,0.0052417633756999555,0.011708550846349204,-0.0008329326184775942,-5.495783542186494e-06,0.05392032589913911,0.035062597825769364,0.08118904836684632,0.005556643034468954,0.13207931299498632
average_precision,std,6,0.021057823412404073,0.01552371623158104,0.008527921047610805,0.0008577150397214886,6.042305935810704e-05,0.02719224932884732,0.016064277980922123,0.02898926505285462,0.008668164760348273,0.022956564837772853
balanced_accuracy,mean,6,0.009013468013468078,0.008939393939393999,0.019121212121212188,-0.00042424242424239736,0.0,0.07488215488215495,0.02890909090909097,0.029538720538720607,0.011333333333333384,0.13279461279461288
balanced_accuracy,std,6,0.0046703152566348665,0.0027281143482547187,0.0031795085412402993,0.0006527472493496088,0.0,0.017357743270932473,0.0031439302665073774,0.008959266971641046,0.002910353261464967,0.013226727511755373
accuracy,mean,7,0.052462936394069834,0.030703012912482067,-0.010425633668101371,0.0007173601147776321,-0.02209469153515063,-0.023098995695839297,0.0008608321377331585,-0.00989956958393113,0.004208512673362038,-0.020612147297943553
accuracy,std,7,0.004152985717908068,0.0039483055840364,0.002510646532454649,0.0011567084287372605,0.0038247248250850717,0.003636197399382174,0.0007028664972118292,0.004063915223848276,0.003097873695017057,0.002605859918857059
f1,mean,7,0.1567334577281473,0.1019475849375956,-0.03317150074505367,0.010937044540046776,0.12352649030871797,0.13885298579948618,0.004558737580362304,-0.020850794565784307,0.02196982049547767,0.2707233295519021
f1,std,7,0.01901984145568053,0.02136874866549265,0.02689152083683098,0.01417603487590731,0.1214986635720363,0.12012875523111934,0.0037221936477125563,0.04679394412960233,0.024411197743652375,0.11789763911191178
average_precision,mean,7,0.09945495577436117,0.03416123863287438,9.14852588925208e-05,0.0016033156190444911,0.2582354260866215,0.3763590275767594,-0.0018880270011997695,0.03687693865901342,0.0008562686035286057,0.3897314492940815
average_precision,std,7,0.06565107268345859,0.0388054968105444,0.011259969225095924,0.0027576985597702144,0.09953077374912805,0.10966659884213303,0.0034082752658417376,0.02830061155465498,0.016109925474576497,0.07571893926924853
balanced_accuracy,mean,7,-0.009051808406647084,-0.021257738677093494,0.0446594982078853,0.012319973932877155,0.27885141739980457,0.292464972303682,0.0004398826979472137,0.05796839361355492,0.003237210817855977,0.3469827305311177
balanced_accuracy,std,7,0.03060070007928573,0.02849047333058718,0.02082738518922468,0.01609655355928276,0.05737904841245234,0.05246088375134489,0.00035916271888316366,0.037885548925890036,0.025083120964398777,0.05016060864245176
accuracy,mean,8,-0.029011249259917125,-0.03203078744819421,-0.015452930728241583,0.0004736530491414944,0.0,-0.09242155121373591,-0.023090586145648326,-0.08632326820603908,-0.032682060390763774,0.013735938425103606
accuracy,std,8,0.005335171261607478,0.0068097921841038505,0.0030472727607952104,0.0007854647224050524,0.0,0.009291669201124092,0.007015423679620429,0.00885252987167114,0.005775606109298836,0.008962718517544689
f1,mean,8,-0.012329562757984755,-0.013756607465098266,-0.006307249855770366,0.0001840264998159702,0.0,-0.04762467363938116,-0.009679503391204963,-0.044159299467677,-0.01404342942845281,0.10523080770457972
f1,std,8,0.0024629779800721652,0.0032193720247991196,0.0012982837089613622,0.00030517342568599004,0.0,0.006619164911455614,0.0031669335268210384,0.005897471577886554,0.0027034537646994676,0.018370544058216257
average_precision,mean,8,0.10396308374185542,0.07219132877356575,0.006284102204809056,0.004847888451489522,-0.0009050553043054687,0.13261770910890772,0.0186909070964262,0.09724857983193627,0.04219528028723764,0.2771968997335785
average_precision,std,8,0.02464712320881899,0.03100181698926688,0.023518645406737895,0.004586976067458571,0.0006545590460989984,0.03252005500462086,0.03513018741454812,0.03925324398054017,0.029212185313438405,0.0048619735770443935
balanced_accuracy,mean,8,-0.015350877192982408,-0.016948621553884664,-0.008176691729323234,0.00025062656641606417,0.0,-0.04789089659632948,-0.012218045112781909,-0.04567669172932328,-0.017293233082706732,0.17789332201471428
