metric,measure,k_fold_i,current__count_above_mean__5,"current__fft_coefficient__attr_""angle""__coeff_22__4","current__fft_coefficient__attr_""abs""__coeff_8__5",current__lempel_ziv_complexity__bins_3__3,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""__3","current__fft_coefficient__attr_""real""__coeff_5__4","current__fft_coefficient__attr_""abs""__coeff_8__3","current__fft_coefficient__attr_""imag""__coeff_41__4","current__fft_coefficient__attr_""imag""__coeff_23__5","current__fft_coefficient__attr_""abs""__coeff_34__6"
f1,mean,1,-0.0010417371905338008,0.0023386123013151203,0.00919667665087707,-0.0006543212921472229,0.062091099095018185,0.00817673586170157,0.024264799650633974,-0.0010897107967726273,-0.0014731685827862476,0.0009375146320070888
f1,std,1,0.0018314554253459562,0.0005948695712986109,0.0008088881354706698,0.0006025022521154345,0.008231581240071287,0.001291306053916477,0.006367009106434516,0.0002530807242871167,0.00047799147499112297,0.0005531131896065594
average_precision,mean,1,0.393980968133302,0.08955019880660872,0.2587922716914355,0.04528710396246406,0.7972643172225867,0.6519505606613692,0.7539997749801461,0.007743548475788834,0.10918980951849579,0.20763750453860813
average_precision,std,1,0.09117397856012638,0.06978002031128201,0.0813759914280215,0.05272136677294308,0.001475780142524036,0.08103789898501534,0.016708817042379746,0.012927733879362038,0.04808168068392111,0.06316013562245282
balanced_accuracy,mean,1,-0.0028422273781903095,0.006960556844547509,0.03008507347254441,-0.0018561484918794132,0.4196313482856405,0.026411446249033188,0.13203789636504248,-0.0030935808197989872,-0.0041569992266048735,0.002745552977571482
balanced_accuracy,std,1,0.005125785756407275,0.0018281433338859642,0.00299060035591419,0.0017036651795754613,0.0598462120970612,0.004639726688931354,0.051102578791243886,0.0007077728235778333,0.0013234156967244866,0.0016333110658888613
accuracy,mean,2,0.001393354769560525,-0.003215434083601317,0.014362272240085712,0.009699892818863853,-0.06811361200428727,0.0005894962486602003,0.01720257234726684,0.001661307609860648,0.0002679528403001045,0.0013933547695605434
accuracy,std,2,0.009381258161686576,0.0036425820938834883,0.004065825667393494,0.0018322959268251868,0.0076032533246617635,0.008810556685899664,0.0029102195031908786,0.0016334137892956076,0.0005991607656751789,0.0005465187045651376
f1,mean,2,0.006184117306643529,-0.0038439008139812595,0.015335607993446142,0.010627122160361583,-0.08210653612582024,0.1862191692144939,0.018179545414474235,0.0018814209384308991,0.0003059708016434996,0.001591048168546198
f1,std,2,0.011932797115530965,0.004338320682230616,0.004084399153294533,0.0019206149463175072,0.039286621594664166,0.026116186802318832,0.0028549640936747795,0.00184218560800234,0.0006841715116049695,0.0006240604352679328
average_precision,mean,2,0.09804204383978395,0.11085726444511315,0.17114488609475356,0.0660433807556138,0.17439616042279876,0.49110372725001467,0.12936524009456224,0.009716072960156944,-0.001374334726325658,0.0025133724375755043
average_precision,std,2,0.09179905659219618,0.04126603776768098,0.05453031630226289,0.038428313955012644,0.10211996083239969,0.025089828343942175,0.07339581249595444,0.021523779338945774,0.0024269500793519367,0.0033717715603096034
balanced_accuracy,mean,2,0.014669486215538825,-0.0016447368421052691,0.00734649122807017,0.004961622807017507,0.043084273182957385,0.41667841478696743,0.008799342105263182,0.0008497807017544064,0.00013706140350877583,0.0007127192982456342
balanced_accuracy,std,2,0.01751562220527973,0.0018632286697331597,0.0020797233265779547,0.0009372434757279754,0.04948361575145621,0.0474837715732868,0.0014886155682440557,0.0008355126455114257,0.0003064786153371509,0.000279551508420665
accuracy,mean,3,0.12319191919191914,-0.016484848484848522,-0.06674747474747478,0.00743434343434339,0.010545454545454502,0.039232323232323195,-0.06347474747474753,-0.0074343434343434826,-0.004444444444444481,-0.0060606060606061
accuracy,std,3,0.007845981946891541,0.004159065610491384,0.00737260265241668,0.004722954083620999,0.008951934364393075,0.008630685119979812,0.007215148050573516,0.004207455691941785,0.003759964484567878,0.0030982286081100503
f1,mean,3,0.10165400539397336,-0.0180144084061754,0.028108298327463466,0.010074362503210458,0.16119010320853028,0.14389067723761845,0.005650088108237529,-0.003441993153368596,-0.0017717012678788854,-0.0038784917444861346
f1,std,3,0.0046352601134582476,0.006984754970029668,0.03749283222623051,0.005869937197947755,0.022022372275384658,0.0156712002001447,0.029487269578791143,0.007840087149586856,0.006669994574112527,0.006328302402300443
