metric,measure,k_fold_i,current__permutation_entropy__dimension_7__tau_1__2,"current__fft_coefficient__attr_""angle""__coeff_23__4","current__fft_coefficient__attr_""imag""__coeff_47__5","current__fft_coefficient__attr_""abs""__coeff_11__4","current__fft_coefficient__attr_""abs""__coeff_9__2","current__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4__2","current__fft_coefficient__attr_""imag""__coeff_50__3",id__3,"current__fft_coefficient__attr_""abs""__coeff_35__2","current__fft_coefficient__attr_""imag""__coeff_22__4"
f1,mean,6,0.0016312410941261902,-0.014819078529804346,-0.0011586776751934462,0.19569644667148411,-0.03193043565797515,0.00033195048685696524,0.011806539000871549,0.34276888783834,0.0026157809488995486,-0.09029698063426667
f1,std,6,0.014923527277062287,0.00809293941123623,0.004360583194876236,0.02200612603021515,0.013346362062786077,0.004964127504880198,0.006505753255637782,0.03635681025119098,0.008276109227635003,0.023330325033678004
average_precision,mean,6,0.14392496869171617,0.16616261888376663,0.008194700481452129,0.38006730769041813,0.1828930380379738,0.012531610694012648,0.1155773425031,0.7887244923023389,0.04871870056411587,0.07062248636929024
average_precision,std,6,0.035599848843990096,0.032864260870513,0.005730494819226941,0.05281664324384004,0.02920977136150726,0.010691232355316124,0.03271166574781325,0.03675811331678466,0.019904963511380918,0.02426193780021154
balanced_accuracy,mean,6,0.0046094276094276075,-0.0019966329966329705,-0.00027272727272727263,0.1568114478114478,-0.005784511784511773,9.090909090909334e-05,0.004117845117845135,0.31417508417508416,0.006558922558922545,-0.018818181818181828
balanced_accuracy,std,6,0.007385235412218801,0.004711063416468078,0.0010536568879220742,0.02233046309959054,0.00542208406125779,0.0012049027486103862,0.003657782349927206,0.03772270723919241,0.007481248121173029,0.004193330661725541
accuracy,mean,7,-0.009373505499760864,-0.00277379244380677,-0.0004304160688665718,0.1341941654710665,-0.001147776183644178,-0.0003825920612147371,0.004256336681013887,0.1035868005738881,-0.003060736489717823,0.0014347202295552494
accuracy,std,7,0.0023931125783255547,0.002189483145338992,0.001236969598888346,0.009924374646509937,0.0020086083213773174,0.0006344571574089839,0.0026579996617102247,0.008127830447696566,0.002765534633151786,0.0024850083322365533
f1,mean,7,-0.13340494052568352,-0.03552883190686573,-0.0054466142668071005,0.5230501293065981,-0.014765803931997886,-0.00464576074332171,0.047090263753536955,0.5486983037703437,-0.039945890945234146,0.01547561389157032
f1,std,7,0.038869829879053235,0.02792090863131374,0.014894403585202602,0.018901647989341016,0.026427489356274654,0.007704122625680356,0.02804157965076768,0.0422245477287372,0.0357008672501796,0.02823988865189012
average_precision,mean,7,0.046898108599346955,0.04332013373241438,0.009002096668763311,0.520291860439197,0.04221130280108605,0.01038937986487004,0.03049205630562163,0.8030539135790558,0.01648721902643472,0.025697756491874113
average_precision,std,7,0.03195939232735897,0.038365455416229995,0.00985462326601921,0.13558781126517633,0.02780346912075707,0.021253585729561084,0.025299294805068057,0.08067584706975765,0.01524748231013679,0.019803812647361734
balanced_accuracy,mean,7,-0.004789833822091883,-0.0014173998044965774,-0.00021994134897360685,0.15224666014988594,-0.0005865102639296182,-0.00019550342130987276,0.004348321928967088,0.2691805148256761,-0.001564027370478982,0.0007331378299120228
balanced_accuracy,std,7,0.0012228735095989043,0.0011188194664965383,0.00063208783755511,0.03436088845795761,0.001026392961876832,0.00032420574685781007,0.008628588805057824,0.07404693553584603,0.0014131800874683234,0.0012698319703584133
accuracy,mean,8,-0.028241563055062202,0.0036116044997039315,0.01184132622853757,-0.01622261693309656,-0.00965068087625819,0.005447010065127259,0.013854351687388959,0.0869745411486086,0.0035523978685612374,0.0005328596802841553
accuracy,std,8,0.0059681341443734975,0.003795232802969183,0.0031552190869092345,0.006657521751034031,0.007792141515110203,0.0026715249668865597,0.004730606123253558,0.008969169541010508,0.005579262990829966,0.006290687145171465
f1,mean,8,-0.08888977193027317,0.011255465211891675,0.029936571549398598,-0.04812240732092902,-0.02815993671061003,0.014159638366661443,0.035953793349226444,0.40950583889382397,0.008972866273162424,0.004443402980268241
f1,std,8,0.021662788616756367,0.01162839525948615,0.007535737084181317,0.02114919025341127,0.02333880034717871,0.006792051251269876,0.012591477124150938,0.024999647800361405,0.014928924984917545,0.0180471566740124
average_precision,mean,8,0.02250451704820244,0.13937578900545144,0.07689938332003265,0.08318613719274497,0.07225342741692864,0.013628500548495707,0.024737066595883487,0.7623068326412764,0.06588271055815123,0.09984351336138189
average_precision,std,8,0.056458889186906246,0.06734822370694525,0.02113409346602239,0.058940892393129406,0.053903551541545885,0.024131527711592975,0.028884584711124,0.030193911047960598,0.039015415534300345,0.057983884969825115
balanced_accuracy,mean,8,-0.014943609022556419,0.005455170183523294,0.006265664160400986,-0.008583959899749397,-0.005106516290726855,0.002882205513784445,0.009862357506669884,0.3979040342792465,0.0018796992481202848,0.006863934028619915
balanced_accuracy,std,8,0.0031579506797765737,0.007389146399426047,0.0016695379191070633,0.0035227300242783475,0.004123097437036697,0.001413598267252943,0.007119061540791283,0.024919647805997702,0.0029521852103733823,0.009530043250489003
accuracy,mean,9,-0.008808808808808783,0.06521521521521524,-0.0022022022022021746,0.0882882882882883,0.0017017017017017337,-0.0023523523523523346,-0.0021021021021020805,0.06201201201201202,0.004354354354354399,-0.003303303303303277
accuracy,std,9,0.006610397189629258,0.007951659861954988,0.0027613842290557947,0.011535857963840613,0.0042244139831850306,0.0022831821277191143,0.004002752557183632,0.011931348280328661,0.0024626455655941105,0.006280034891434683
f1,mean,9,-0.01717716484852627,0.13454608657132458,-0.006046344516945161,0.26861339402342027,0.0071170913000414525,-0.0064263020318484,-0.004765937976407497,0.2556442861213304,0.011358077058976783,-0.005555277906587815
f1,std,9,0.02110208658182874,0.012964894023528874,0.007569463076910999,0.028530880756189456,0.012750362887914897,0.0062436232809600185,0.010872993855549266,0.03798418930103334,0.00633561957540625,0.018941587271692872
average_precision,mean,9,0.13828630520161977,0.04008250865446512,0.0027722599576991487,0.4718681344971915,0.06422101404574905,0.0007544323361913537,0.01429731183453875,0.5678977335551239,0.01319769068803432,0.04123445765598507
average_precision,std,9,0.033067474929544496,0.023370368616541612,0.005822246488257931,0.061409404889954784,0.019712775128171735,0.0037345779350047097,0.009961100825184031,0.06202065259098255,0.009388544461659928,0.014322245327847845
balanced_accuracy,mean,9,0.01041971158530649,0.034914255091103984,-0.0011789924973204487,0.20883148202280036,0.006190928578388429,-0.0012593783494104782,0.0009865536392868024,0.22397934327194777,0.002331189710610963,0.005623355743934548
balanced_accuracy,std,9,0.013942549921459579,0.004257078350532166,0.001478361653176184,0.029879946295363037,0.008021746796847164,0.0012223467018174922,0.005275447161283457,0.034495086787064096,0.001318426002158886,0.010106975539642923
