metric,measure,k_fold_i,current__autocorrelation__lag_9__4,"current__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""__3",current__index_mass_quantile__q_0.1__3,"current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""__4","current__fft_coefficient__attr_""imag""__coeff_25__6",id__5,"current__fft_coefficient__attr_""abs""__coeff_70__6","current__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""__3",current__partial_autocorrelation__lag_1__5,current__index_mass_quantile__q_0.8__6
f1,std,2,0.0028763223195662703,0.002754086129872348,0.0016575302266903721,0.0011210529034371192,0.0,0.004070200259041343,0.00042633368898978074,0.0026858527874730454,0.01007485368232108,0.0011319696264956338
average_precision,mean,2,-0.02295626242821216,-0.015173965483660875,-0.016273563913501366,-0.0003811595412562425,2.0040677925183456e-05,-0.014718614186737571,-4.212725968481129e-05,-0.01549150232460791,-0.0034932582617962023,-0.0016150884356825406
average_precision,std,2,0.01771659136346058,0.007291271059039487,0.013707763391164588,0.002723260883687212,5.888687016111857e-05,0.007709318466822645,9.907740908580794e-05,0.009093101989286523,0.006254210580165699,0.0009489612373596159
balanced_accuracy,mean,2,0.041866384711779434,-0.019544956140350893,0.003234649122807032,0.0005482456140350996,0.0,-0.012856359649122817,-0.001480263157894779,-0.017571271929824602,0.029397713032581447,-0.0009594298245614271
balanced_accuracy,std,2,0.011400459043750297,0.002774063214462901,0.0022364120673652407,0.0014453318340421468,0.0,0.004425958692900554,0.0005371688032419403,0.002804773337049223,0.036860373298535094,0.0014414272834578077
accuracy,mean,3,-0.008727272727272728,0.02274747474747476,0.001333333333333342,0.020161616161616176,0.05127272727272729,0.019838383838383853,0.032444444444444456,0.029858585858585866,-0.021535353535353543,0.0030707070707070906
accuracy,std,3,0.003303261969449623,0.006303677770422844,0.0021761992742618695,0.005021980052183221,0.003972972663448842,0.004953245332357181,0.005280577769664156,0.006598240823206164,0.004321721627869264,0.002741526537969694
f1,mean,3,-0.0067990656832260165,-0.033127518061050236,-0.00890552817138815,-0.009957869861657694,0.011489106018078872,-0.004836792218922304,0.002131930080288169,-0.02861920150077778,-0.014687579712940983,-0.01484732221086901
f1,std,3,0.004211267508112566,0.015733177670298693,0.008836094140552052,0.01079166669479684,0.008720607989201637,0.010228551588474081,0.009874402695542883,0.015644477177049226,0.0032453934514737512,0.010127890662167403
average_precision,mean,3,0.018043244738201885,0.01754552003336358,0.0037809188355414996,0.0076090091232326375,0.0399930384401451,0.007350231630696596,0.006402217089329708,0.011442437117615672,0.015404641057205452,0.004393636604937547
