metric,measure,k_fold_i,current__index_mass_quantile__q_0.1__4,current__partial_autocorrelation__lag_3__5,"current__fft_coefficient__attr_""real""__coeff_57__5","current__fft_coefficient__attr_""abs""__coeff_87__6","current__fft_coefficient__attr_""abs""__coeff_35__1","current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0__5","current__fft_coefficient__attr_""real""__coeff_4__5",current__large_standard_deviation__r_0.15000000000000002__6,"current__fft_coefficient__attr_""abs""__coeff_28__1","current__fft_coefficient__attr_""abs""__coeff_46__1"
f1,mean,5,0.6223435344514646,0.1350124551880812,0.14551508619341896,0.14719878791556623,0.09133441532091302,0.1368931571971543,0.35324133201426,-0.0008281573498964893,0.1229004271091067,0.11123131087708771
f1,std,5,0.05788915795189346,0.04282730575963344,0.030875427995973037,0.03818490120605005,0.025240479571092184,0.028251314899426182,0.04343209285179555,0.003098681065651331,0.032275922298389506,0.04280798757270105
average_precision,mean,5,0.7991340922444885,0.16981743073140768,0.11103834840988921,0.1906221683181822,0.04374250500282011,0.06808985575289613,0.4847761428575346,-7.771561172376095e-17,0.1264825873358218,0.0817643891265185
average_precision,std,5,0.06787676419089254,0.039172147774698525,0.030361479230157695,0.04706902144221775,0.018572935755182124,0.026254817330179585,0.056521852748525676,5.0876810486276013e-17,0.032702377141117435,0.038869832516208014
balanced_accuracy,mean,5,0.37841503267973847,0.10315953654188945,0.03586452762923347,0.06583630421865713,0.020145573380867452,0.02853089720736777,0.2040478312537136,-4.456327985739398e-05,0.07196375519904925,0.04838829471182407
balanced_accuracy,std,5,0.03612308459860249,0.03435590417613563,0.02027265642901782,0.030760975781335777,0.016733947455673436,0.018759322505338707,0.03421302886439359,0.0001667405252572926,0.024109345961815513,0.03449113815998182
accuracy,mean,6,0.09002801120448171,0.019719887955182005,0.03467787114845934,0.01014005602240892,0.016246498599439718,0.03086834733893552,0.05299719887955175,0.0,0.018375350140055962,0.021624649859943904
accuracy,std,6,0.010006079015996268,0.006693681582630279,0.006280759192737785,0.007719920479008445,0.0057950030435790275,0.004371543120425665,0.009873939646775699,0.0,0.007129608188205263,0.005238619485741595
f1,mean,6,0.3934320643544988,0.07301636603421928,0.0969056811794894,0.0659178020235381,0.056733787743721203,0.15722621867975697,0.3489553058377098,0.0,0.08050030177055337,0.06122468571229219
f1,std,6,0.02800234528323041,0.021786408294224402,0.015498784808048637,0.03244032693968206,0.01846610579325185,0.024638072607601806,0.04686803410980184,0.0,0.02325077543559498,0.014011150631873408
average_precision,mean,6,0.6557622478927384,0.14870088876441712,0.10809712798295093,0.3461040197261377,0.08758335894383765,0.2531016561060943,0.6376308928613661,0.0,0.2053105957511771,0.09209967007116292
average_precision,std,6,0.054643445927317194,0.024471276873340886,0.028276069632179684,0.057839169888995824,0.024423130356914267,0.04326964549342665,0.06140057434108411,0.0,0.03963685186921044,0.01763811040989974
balanced_accuracy,mean,6,0.32415151515151513,0.04977441077441079,0.03916161616161617,0.07383838383838386,0.03429292929292928,0.1421818181818182,0.30922222222222223,0.0,0.06707070707070707,0.02121885521885523
balanced_accuracy,std,6,0.023901294463257665,0.015757525756057544,0.011092459092073098,0.02537937165350329,0.014048510364866275,0.02462535111545485,0.033571247169768476,0.0,0.022207938476462626,0.008532571153425674
accuracy,mean,7,0.02185557149689145,0.006025824964132009,0.007699665231946447,0.0018173122907699864,0.0026781444285031266,0.0036824485891917926,0.016260162601626025,0.0,0.0015781922525107757,0.0036824485891917853
accuracy,std,7,0.002813499011015351,0.0032800436536551394,0.0022980418511208025,0.0034340168476358164,0.002814718119476267,0.0033480221182567416,0.0037290461386165295,0.0,0.0022334374804085406,0.0017643105447820754
f1,mean,7,0.5932246816733877,0.26922282746975,0.10140605245525737,0.06071422890495594,0.040473514904210216,0.099102773457737,0.5774493322876236,0.0,0.023932845526570344,0.05541319451460658
f1,std,7,0.08398357760448416,0.11996299457962195,0.02952200620984763,0.05679080410345705,0.03961947181087673,0.0647808228060077,0.11000993196312787,0.0,0.03142311419166622,0.027517634031834645
average_precision,mean,7,0.7862176922990306,0.2913353639604722,0.04104127842947742,0.26011393663684124,0.11600981358141618,0.1666343521123298,0.6813976771916056,0.0,0.054973535084788354,0.05491249733044769
average_precision,std,7,0.07999693904778239,0.08975472368607706,0.025330575725832208,0.10908276738919942,0.04152980908997391,0.05899459521805003,0.07083487437477247,0.0,0.027341242168004775,0.030566726337783394
balanced_accuracy,mean,7,0.404543825350277,0.2682274356467905,0.01371456500488758,0.08894916911045941,0.01440860215053763,0.1072890192245031,0.4103779732811991,0.0,0.008413163897034863,0.016008471814923424
balanced_accuracy,std,7,0.046548464961237886,0.06960793310095544,0.01945592875595737,0.027472289902054005,0.016408648854195663,0.04135831776369308,0.049062147955289084,0.0,0.013910144752770786,0.02050434941876972
accuracy,mean,8,-0.0037300177619892867,0.00615748963883959,0.0019538188277087457,0.011426879810538826,-0.003789224393131966,-0.005387803433984543,0.03641207815275316,0.0,0.003374777975133266,-0.004558910597986906
