metric,measure,k_fold_i,current__ratio_beyond_r_sigma__r_5__4,"current__fft_coefficient__attr_""imag""__coeff_51__3",current__number_peaks__n_5__4,"current__fft_coefficient__attr_""real""__coeff_91__6","current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4__6","current__fft_coefficient__attr_""angle""__coeff_13__6","current__fft_coefficient__attr_""real""__coeff_2__4","current__fft_aggregated__aggtype_""skew""__4","current__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""__3","current__fft_coefficient__attr_""real""__coeff_87__6"
average_precision,std,1,0.0,0.07068915619958205,0.05088885648520115,0.024370043160535947,0.06438301446386119,0.06533903291880748,0.021221958673876,0.10567988259041554,0.06729455534646883,0.039110195494735704
balanced_accuracy,mean,1,0.0,0.012432327919566914,0.06417246713070382,0.01299303944315547,0.04002449084815674,0.1454343903067801,0.04282160350605825,0.04610337715906162,0.0205723124516628,0.011357308584686806
balanced_accuracy,std,1,0.0,0.003374532087667692,0.0043907209712920605,0.0031005817920187364,0.01676771068122226,0.0459393680427927,0.01723599747612877,0.029875479763755125,0.005409759869767986,0.011312290288696911
accuracy,mean,2,0.0,0.025348338692390154,0.028188638799571283,0.014898177920685977,0.03853161843515544,0.042765273311897126,0.06538049303322617,-0.04297963558413717,0.020953912111468402,0.00401929260450162
accuracy,std,2,0.0,0.006966979962323267,0.004040316575556444,0.004928001685990412,0.00509223206320441,0.008023565818740797,0.0064886648950333485,0.013244136672792345,0.0054832867811122985,0.003997798907086448
f1,mean,2,0.0,0.005384686086583265,0.005968635550583081,0.0038732490426825012,0.0079836976335597,0.01198139089182299,0.015902962656491538,-0.0029719106425638423,0.0070019516484533615,0.0008898522777787979
f1,std,2,0.0,0.0014238590369102552,0.0008024287628350015,0.002040098212699844,0.0009783178443157348,0.003060151977394779,0.00333987535682011,0.005678846146973602,0.0031673463852829173,0.0008827809082748053
average_precision,mean,2,0.0,0.2950015152695018,0.26582106412820283,0.27610480525904524,0.4506808290493405,0.4989953727981965,0.3934832358401935,0.565402024813831,0.34019398401075696,0.28537544859036246
average_precision,std,2,0.0,0.07972735323476861,0.04341154263435627,0.06729650750245067,0.03165073855715294,0.04026011317015525,0.03293972586994283,0.04047495351831246,0.057367099556121556,0.03957358203742765
balanced_accuracy,mean,2,0.0,0.012966008771929764,0.014418859649122736,0.01110980576441097,0.019709429824561323,0.0404840225563909,0.05205200501253124,0.01639645989974932,0.024674968671679107,0.0020559210526315003
balanced_accuracy,std,2,0.0,0.0035637019215173414,0.0020666750904573196,0.010423775681328677,0.002604743703382534,0.017085784829780907,0.018581424995312908,0.022565316219380203,0.01707737853929374,0.002044926743591898
accuracy,mean,3,0.0,0.03232323232323233,0.05086868686868687,0.048323232323232324,0.05999999999999999,0.0968080808080808,-0.025656565656565652,-0.01143434343434343,0.03842424242424244,0.04024242424242426
accuracy,std,3,0.0,0.005486624710066416,0.005232128228494445,0.004639256596172051,0.004681466758083406,0.010302951079117084,0.008209580035964158,0.008494559137790129,0.0056434190662460835,0.004811983816067686
f1,mean,3,0.0,0.03891821966707075,0.050031108203310797,0.047030543148874164,0.0589119877947649,0.1377632932846656,-0.024700556684866204,-0.002273496335264543,0.04421691465207141,0.04092801055336786
f1,std,3,0.0,0.00767682264577162,0.00545388202142387,0.0044469497648931215,0.00562111720882853,0.016837870935944754,0.012928616428020685,0.013073526294289836,0.00836909784195099,0.004527267324882019
average_precision,mean,3,0.0,0.32151251375857487,0.3334689078378043,0.4127554900927254,0.26898168035264675,0.6000064874661689,0.3097339273943318,0.36314622999479595,0.5728348468052727,0.3283545391362998
average_precision,std,3,0.0,0.05063139920888456,0.036704754740630584,0.03277514602814943,0.0373798832442706,0.06151374641385129,0.028664501360434937,0.042654571133190426,0.02938821269879916,0.0417425401185927
balanced_accuracy,mean,3,0.0,0.032442381562099894,0.032228979940247544,0.028739863422962014,0.04098378147673922,0.18124199743918054,-0.0013977806231327346,0.016122492530943257,0.03566474605207,0.02590162185232609
balanced_accuracy,std,3,0.0,0.011139545497454589,0.007578779536493731,0.00562289229952428,0.008453566609565245,0.030731572943019023,0.011565915106113968,0.014158212583224332,0.012602315516363193,0.006087150340689275
accuracy,mean,4,0.0,0.03827345309381243,0.03468063872255493,0.0319860279441118,0.04446107784431142,0.05703592814371264,0.03902195608782441,0.021656686626746562,0.03937125748502998,0.023852295409181688
accuracy,std,4,0.0,0.00572896887564857,0.0046396453161987455,0.0036152686001357263,0.005173522166979156,0.008175261040974482,0.004732896487576604,0.006022025884848527,0.006606643207497846,0.006086188059277179
f1,mean,4,0.0,0.10148038850636745,0.08267526567592492,0.08321335087015763,0.10155907808762178,0.18420363798536596,0.09168800438395015,0.07809716488813277,0.09510020189351516,0.07268070050054623
f1,std,4,0.0,0.01282048643608625,0.009424394647738399,0.0072756725572060855,0.009797901222026732,0.022521209431990815,0.009415050971565577,0.017454579967805573,0.012954912867209732,0.01613298778891935
average_precision,mean,4,0.0,0.2891016571575891,0.21945678748469793,0.22497405968830417,0.4201165128515704,0.5810404109949805,0.20660735469434624,0.33473013482505415,0.29092059124932246,0.23999121053800787
average_precision,std,4,0.0,0.06600064432042566,0.04304616456203636,0.03503042099106847,0.05136377838609609,0.09210758264657792,0.03612606267177345,0.05926996273728227,0.058676253708423255,0.04419444034890431
balanced_accuracy,mean,4,0.0,0.04359565166016777,0.0192071369490724,0.029046606235546293,0.0248468121740011,0.1419177596596951,0.02250637227595749,0.05483026957681334,0.02831569352306675,0.037568575817423705
balanced_accuracy,std,4,0.0,0.012118251098723018,0.004505570535642018,0.00598364353672525,0.0054839555473572745,0.02770637420606593,0.005757678271094519,0.016268123122809425,0.008929242280667564,0.01464127039292557
accuracy,mean,5,0.0,0.06289631533847477,0.0649100257069409,0.06692373607540708,0.060025706940874085,0.04554413024850048,0.02300771208226225,0.05574121679520141,0.06285347043701803,0.07305055698371897
accuracy,std,5,0.0,0.010820013105511282,0.007336993911544002,0.007661454309256938,0.009089684939967684,0.0070999832207797745,0.007918892291663008,0.010237062768410762,0.010284650643234639,0.01145850824363009
